toto_round,match_date,home_raw,away_raw,home_team,away_team,home_class,away_class,match_class,competition_raw
1632,,名古屋グランパス,町田,名古屋,町田,J1,J1,J1,J.League
1632,,サンフレッチェ広島,川崎フロンターレ,広島,川崎F,J1,J1,J1,J.League
1632,,セレッソ大阪,FC東京,C大阪,FC東京,J1,J1,J1,J.League
1632,,V・ファーレン長崎,水戸ホーリーホック,長崎,水戸,J2,J2,J2,J.League
1632,,京都サンガF.C.,柏レイソル,京都,柏,J1,J1,J1,J.League
1632,,ヴィッセル神戸,鹿島アントラーズ,神戸,鹿島,J1,J1,J1,J.League
1632,,アビスパ福岡,ジェフユナイテッド千葉,福岡,千葉,J1,J2,Mixed Domestic,J.League
1632,,ファジアーノ岡山,浦和レッズ,岡山,浦和,J1,J1,J1,J.League
1632,,清水エスパルス,横浜F・マリノス,清水,横浜FM,J1,J1,J1,J.League
1632,,ガンバ大阪,東京ヴェルディ,G大阪,東京V,J1,J1,J1,J.League
1632,,ベガルタ仙台,ヴァンフォーレ甲府,仙台,甲府,J2,J2,J2,J.League
1632,,富山,宮崎,富山,宮崎,J2,J3,Mixed Domestic,J.League
1632,,ブラウブリッツ秋田,北海道コンサドーレ札幌,秋田,札幌,J2,J1,Mixed Domestic,J.League
1631,,アビスパ福岡,ヴィッセル神戸,福岡,神戸,J1,J1,J1,J.League
1631,,鹿島アントラーズ,FC東京,鹿島,FC東京,J1,J1,J1,J.League
1631,,京都サンガF.C.,V・ファーレン長崎,京都,長崎,J1,J2,Mixed Domestic,J.League
1631,,ファジアーノ岡山,セレッソ大阪,岡山,C大阪,J1,J1,J1,J.League
1631,,東京ヴェルディ,横浜F・マリノス,東京V,横浜FM,J1,J1,J1,J.League
1631,,サンフレッチェ広島,名古屋グランパス,広島,名古屋,J1,J1,J1,J.League
1631,,柏レイソル,ジェフユナイテッド千葉,柏,千葉,J1,J2,Mixed Domestic,J.League
1631,,水戸ホーリーホック,川崎フロンターレ,水戸,川崎F,J2,J1,Mixed Domestic,J.League
1631,,清水エスパルス,ガンバ大阪,清水,G大阪,J1,J1,J1,J.League
1631,,北海道コンサドーレ札幌,ジュビロ磐田,札幌,磐田,J1,J1,J1,J.League
