toto_round,match_class,rows
1506,Other,5
1507,Other,5
1508,Other,13
1509,Other,13
1511,Other,13
1513,Other,13
1514,Other,5
1515,J1,9
1515,J2,3
1515,Mixed Domestic,1
1516,J1,10
1516,J2,2
1516,Mixed Domestic,1
1517,J1,5
1518,J1,10
1518,J2,2
1518,Other,1
1519,J1,8
1519,J2,3
1519,Mixed Domestic,2
1520,J1,10
1520,J2,1
1520,Mixed Domestic,1
1520,Other,1
1521,Mixed Domestic,10
1521,Other,3
1522,J2,6
1522,Mixed Domestic,3
1522,J3,2
1522,Other,2
1523,J2,7
1523,Mixed Domestic,4
1523,Other,2
1524,J1,9
1524,J2,2
1524,Mixed Domestic,2
1525,J1,5
1526,J1,10
1526,Mixed Domestic,3
1527,Mixed Domestic,4
1527,J1,1
1529,J1,9
1529,J2,3
1529,Mixed Domestic,1
1530,J1,3
1530,Mixed Domestic,2
1531,J1,10
1531,Mixed Domestic,3
1532,J1,8
1532,J2,3
1532,Mixed Domestic,1
1532,Other,1
1533,J1,8
1533,J2,4
1533,Mixed Domestic,1
1534,J1,7
1534,J2,4
1534,Mixed Domestic,1
1534,Other,1
1535,J1,6
1535,J2,5
1535,Mixed Domestic,1
1535,Other,1
1536,Other,3
1537,J1,10
1537,J2,1
1537,Mixed Domestic,1
1537,Other,1
1538,Other,3
1539,J1,10
1539,Mixed Domestic,3
1540,J1,5
1541,J1,10
1541,J2,3
1542,J1,10
1542,J2,2
1542,Other,1
1543,Other,3
1544,Other,13
1545,J1,4
1545,Other,1
1546,Other,13
1547,J1,9
1547,J2,3
1547,Other,1
1548,J1,9
1548,J2,4
1549,Other,2
1550,J1,9
1550,J2,4
1551,J1,9
1551,J2,3
1551,Other,1
1552,J2,7
1552,J3,2
1552,Mixed Domestic,2
1552,J1,1
1552,Other,1
1553,Mixed Domestic,10
1553,J1,3
1554,J1,9
1554,J3,2
1554,Other,2
1555,Other,3
1556,J2,6
1556,Other,3
1556,J3,2
1556,J1,1
1556,Mixed Domestic,1
1557,J1,4
1557,Mixed Domestic,1
1558,J1,9
1558,J2,2
1558,Mixed Domestic,1
1558,Other,1
1559,Other,2
1560,J1,10
1560,J2,3
1561,Other,2
1562,J1,9
1562,J2,2
1562,Mixed Domestic,1
1562,Other,1
1563,Other,3
1564,J1,10
1564,J2,2
1564,Mixed Domestic,1
1565,Other,3
1566,J3,6
1566,J1,4
1566,Other,3
1567,Other,13
1568,J1,6
1568,J2,6
1568,Mixed Domestic,1
1570,J1,8
1570,J2,4
1570,Mixed Domestic,1
1571,J1,5
1572,J1,10
1572,J2,2
1572,Other,1
1574,J1,9
1574,J2,2
1574,Mixed Domestic,1
1574,Other,1
1575,Other,2
1576,Other,13
1577,J1,2
1577,J3,1
1577,Mixed Domestic,1
1577,Other,1
1578,Other,13
1579,Other,2
1580,J1,8
1580,J2,2
1580,Mixed Domestic,2
1580,Other,1
1582,J1,10
1582,J2,2
1582,Mixed Domestic,1
1583,J2,6
1583,Mixed Domestic,4
1583,J1,1
1583,J3,1
1583,Other,1
1585,J1,10
1585,J2,2
1585,Mixed Domestic,1
1586,Other,13
1587,J1,2
1587,J3,1
1587,Mixed Domestic,1
1587,Other,1
1588,Other,13
1589,J2,7
1589,Mixed Domestic,3
1589,Other,2
1589,J3,1
1591,J1,10
1591,J2,2
1591,Mixed Domestic,1
1592,J1,5
1593,Other,13
1595,Other,13
1596,Other,13
1597,Other,5
1598,Other,5
1599,Other,3
1600,Other,5
1601,Other,5
1602,Other,5
1603,Other,13
1604,Other,13
1605,Other,13
1606,Other,13
1607,Other,3
1608,Mixed Domestic,6
1608,J1,5
1608,Other,2
1609,J1,7
1609,Mixed Domestic,5
1609,Other,1
1610,J1,8
1610,J2,3
1610,Mixed Domestic,2
1611,Other,5
1612,Other,3
1613,J1,5
1613,Mixed Domestic,5
1613,Other,2
1613,J2,1
1614,Mixed Domestic,6
1614,J1,5
1614,J2,2
1615,Other,5
1616,J1,8
1616,Mixed Domestic,4
1616,Other,1
1617,J1,4
1617,Mixed Domestic,1
1618,J1,7
1618,Mixed Domestic,5
1618,Other,1
1619,Mixed Domestic,4
1619,Other,4
1619,J2,3
1619,J1,1
1619,J3,1
1620,J1,7
1620,Mixed Domestic,6
1621,J1,8
1621,Mixed Domestic,4
1621,J2,1
1622,J1,5
1622,Mixed Domestic,5
1622,Other,2
1622,J2,1
1624,Mixed Domestic,6
1624,J1,3
1624,J2,2
1624,Other,2
1625,J1,7
1625,Mixed Domestic,5
1625,J2,1
1626,J1,7
1626,Mixed Domestic,5
1626,J2,1
1627,J1,7
1627,Mixed Domestic,6
1628,J1,7
1628,Mixed Domestic,5
1628,J2,1
1630,J1,6
1630,Mixed Domestic,5
1630,J2,1
1630,Other,1
1631,J1,7
1631,Mixed Domestic,4
1631,J2,1
1631,Other,1
1632,J1,8
1632,Mixed Domestic,3
1632,J2,2
