window,model,train_round_from,train_round_to,test_round_from,test_round_to,train_rows,test_rows,accuracy,macro_f1,log_loss,draw_recall
1,RandomForest v2,1515,1540,1541,1548,145,41,0.43902439024390244,0.2726423902894491,1.1104730023067582,0.0
1,RandomForest v3,1515,1540,1541,1548,145,41,0.4634146341463415,0.27654320987654324,1.0676455003171361,0.0
2,RandomForest v2,1515,1548,1550,1557,186,32,0.34375,0.3214630779848171,1.0663565248761624,0.2
2,RandomForest v3,1515,1548,1550,1557,186,32,0.40625,0.2884848484848485,1.0401070180914203,0.0
3,RandomForest v2,1515,1557,1558,1566,218,42,0.35714285714285715,0.30873015873015874,1.2081542940832874,0.14285714285714285
3,RandomForest v3,1515,1557,1558,1566,218,42,0.3333333333333333,0.2623655913978495,1.186344037076412,0.0
4,RandomForest v2,1515,1566,1568,1574,260,38,0.5526315789473685,0.4103059581320451,1.0824534784548803,0.0
4,RandomForest v3,1515,1566,1568,1574,260,38,0.42105263157894735,0.298989898989899,1.1145158880506612,0.0
5,RandomForest v2,1515,1574,1577,1585,298,31,0.3225806451612903,0.3033445683173451,1.158124683113381,0.25
5,RandomForest v3,1515,1574,1577,1585,298,31,0.2903225806451613,0.23842592592592593,1.1467614314060186,0.125
6,RandomForest v2,1515,1585,1587,1609,329,29,0.3448275862068966,0.3229437229437229,1.1227427368904996,0.16666666666666666
6,RandomForest v3,1515,1585,1587,1609,329,29,0.3793103448275862,0.35064935064935066,1.1084082107875224,0.16666666666666666
7,RandomForest v2,1515,1609,1610,1617,358,28,0.5357142857142857,0.41855072463768117,1.086955706021876,0.0
7,RandomForest v3,1515,1609,1610,1617,358,28,0.5357142857142857,0.4025974025974026,1.0887518429211398,0.0
8,RandomForest v2,1515,1617,1618,1622,386,27,0.2962962962962963,0.2429261559696342,1.0893742985927215,0.0
8,RandomForest v3,1515,1617,1618,1622,386,27,0.3333333333333333,0.2727272727272727,1.0999948267903759,0.0
9,RandomForest v2,1515,1622,1624,1628,413,30,0.3,0.27911219215567046,1.2171367089448297,0.14285714285714285
9,RandomForest v3,1515,1622,1624,1628,413,30,0.3,0.24369296833064946,1.190902946113973,0.0
10,RandomForest v2,1515,1628,1630,1632,443,20,0.2,0.18333333333333335,1.1396684802193708,0.16666666666666666
10,RandomForest v3,1515,1628,1630,1632,443,20,0.3,0.29116059379217274,1.1830044785256288,0.16666666666666666
