roundNo,snapshotDate,league,homeTeam,awayTeam,homeElo,awayElo,eloDiff,homeHomeElo,awayAwayElo,homeAwayDiff,homeFormPoints,awayFormPoints,formDiff,homeLast5Wins,awayLast5Wins,homeRank,awayRank,rankDiff,homePoints,awayPoints,pointsDiff,homeGoalsFor,awayGoalsFor,homeGoalsAgainst,awayGoalsAgainst,homeGoalDifference,awayGoalDifference,goalDifferenceDiff,homeWinRate,awayWinRate,homeHomeWinRate,awayAwayWinRate,homeAwayWinRateDiff,homeHomeGoalsPerMatch,awayAwayGoalsPerMatch,homeAwayGoalsPerMatchDiff,homeHomeGoalsAgainstPerMatch,awayAwayGoalsAgainstPerMatch,homeAwayGoalsAgainstPerMatchDiff,homeAttackRating,awayAttackRating,attackRatingDiff,homeDefenseRating,awayDefenseRating,defenseRatingDiff,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,absDefenseDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff,h2hHomeWins,h2hDraws,h2hAwayWins,month,seasonRound,combinedGoalsPerMatch,expectedGoalGap,attackDefenseRatio,result,match_card_id,homePlayerCoreScore,homePlayerMomentum,homeTeamStability,homeCorePlayerCount,homeAvailablePlayerCount,awayPlayerCoreScore,awayPlayerMomentum,awayTeamStability,awayCorePlayerCount,awayAvailablePlayerCount,playerCoreScoreDiff,playerMomentumDiff,teamStabilityDiff,corePlayerCountDiff,availablePlayerCountDiff
1632,2025-05-31,J.League,名古屋グランパス,町田,1488,1539,-51,1495,1507,-12,9,9,0,3,2,10,13,3,36,31,5,16,15,19,13,-3,2,-5,0.3448275862068966,0.3809523809523809,0.4,0.25,0.15,0.5333333333333333,0.75,-0.2166666666666666,0.6,0.75,-0.15,0.408684546615581,0.5291005291005291,-0.120415982484948,2.060526315789474,2.180769230769231,-0.120242914979757,51,3,5,0.120415982484948,0.120242914979757,18.64813177949294,3,7,-4,1,2,-1,0,5,-5,2,0,2,0,0,1,5,1632,1.2833333333333332,0.2166666666666666,0.2211029519463212,H,31397,0.581907,0.524037,0.636364,11.0,20.0,0.595241,0.537407,0.727273,11.0,20.0,-0.013334000000000068,-0.013369999999999993,-0.0909089999999999,0.0,0.0
1632,2025-05-31,J.League,サンフレッチェ広島,川崎フロンターレ,1560,1507,53,1535,1494,41,10,10,0,3,3,2,8,6,47,37,10,19,17,11,17,8,0,8,0.56,0.3703703703703703,0.6363636363636364,0.3636363636363636,0.2727272727272727,0.8181818181818182,0.5454545454545454,0.2727272727272728,0.3636363636363636,0.6363636363636364,-0.2727272727272727,0.5629629629629629,0.4663923182441701,0.0965706447187927,3.0681818181818183,2.1441176470588235,0.9240641711229948,53,6,10,0.0965706447187927,0.9240641711229948,20.254126963168357,9,4,5,3,1,2,4,2,2,0,0,0,1,0,0,5,1632,1.3636363636363638,0.2727272727272728,0.1974820402909412,A,32335,0.593868,0.557892,0.909091,12.0,19.0,0.557875,0.491594,0.909091,10.0,20.0,0.03599299999999994,0.06629800000000008,0.0,2.0,-1.0
1632,2025-05-31,J.League,セレッソ大阪,FC東京,1550,1546,4,1509,1553,-44,10,7,3,3,2,5,4,-1,42,42,0,18,18,14,14,4,4,0,0.4615384615384615,0.4615384615384615,0.3076923076923077,0.5714285714285714,-0.2637362637362637,0.7692307692307693,0.8571428571428571,-0.0879120879120878,0.6923076923076923,0.4285714285714285,0.2637362637362637,0.5128205128205128,0.5128205128205128,0.0,2.5071428571428576,2.5071428571428576,0.0,4,1,0,0.0,0.0,1.65,9,7,2,3,2,1,3,3,0,0,0,0,0,0,0,5,1632,1.6263736263736264,0.0879120879120878,0.2045397151477656,D,32259,0.618368,0.532644,1.0,11.0,20.0,0.593403,0.515653,0.909091,11.0,20.0,0.024965000000000015,0.01699099999999998,0.09090900000000002,0.0,0.0
1632,2025-05-31,J.League,V・ファーレン長崎,水戸ホーリーホック,1461,1500,-39,1515,1477,38,4,7,-3,1,2,26,20,-6,22,26,-4,10,14,13,15,-3,-1,-2,0.3157894736842105,0.2857142857142857,0.5,0.2307692307692307,0.2692307692307692,0.75,0.5384615384615384,0.2115384615384615,0.5,0.7692307692307693,-0.2692307692307693,0.3898635477582846,0.4938271604938271,-0.1039636127355425,1.9730769230769232,1.89,0.083076923076923,39,6,4,0.1039636127355425,0.083076923076923,15.187408107162492,1,6,-5,0,2,-2,0,0,0,1,1,0,1,0,0,5,1632,1.2884615384615383,0.2115384615384615,0.2287471492629113,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,京都サンガF.C.,柏レイソル,1484,1507,-23,1492,1486,6,6,9,-3,2,3,14,6,-8,30,42,-12,14,16,15,15,-1,1,-2,0.3478260869565217,0.4642857142857143,0.2857142857142857,0.3333333333333333,-0.0476190476190476,0.6428571428571429,0.5,0.1428571428571429,0.7142857142857143,0.6666666666666666,0.0476190476190476,0.4508856682769726,0.4232804232804232,0.0276052449965494,2.0700000000000003,2.5200000000000005,-0.4500000000000002,23,8,12,0.0276052449965494,0.4500000000000002,10.145521048999308,3,9,-6,1,3,-2,1,3,-2,0,0,0,0,0,0,5,1632,1.1428571428571428,0.1428571428571429,0.1904459797297217,A,32226,0.592917,0.532128,0.818182,9.0,20.0,0.598069,0.53776,0.909091,10.0,19.0,-0.005151999999999934,-0.00563199999999997,-0.09090900000000002,-1.0,1.0
1632,2025-05-31,J.League,ヴィッセル神戸,鹿島アントラーズ,1497,1617,-120,1505,1565,-60,2,10,-8,0,3,18,1,-17,27,59,-32,13,23,12,8,1,15,-14,0.3684210526315789,0.6923076923076923,0.5,0.6923076923076923,-0.1923076923076923,0.625,0.9230769230769232,-0.2980769230769231,0.5,0.3076923076923077,0.1923076923076923,0.50682261208577,0.6552706552706552,-0.1484480431848852,2.1375,4.3875,-2.25,120,17,32,0.1484480431848852,2.25,46.72968960863698,1,6,-5,0,2,-2,0,0,0,1,1,0,0,0,0,5,1632,1.5480769230769231,0.2980769230769231,0.1780958555970674,H,32488,0.650472,0.587069,0.818182,12.0,20.0,0.638417,0.570567,0.909091,11.0,20.0,0.012055000000000038,0.016501999999999906,-0.09090900000000002,1.0,0.0
1632,2025-05-31,J.League,アビスパ福岡,ジェフユナイテッド千葉,1489,1463,26,1505,1462,43,6,3,3,1,1,12,22,10,35,24,11,17,10,18,14,-1,-4,3,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.1818181818181818,0.2467532467532467,0.6428571428571429,0.3636363636363636,0.2792207792207792,0.5714285714285714,0.8181818181818182,-0.2467532467532468,0.4663923182441701,0.3527336860670194,0.1136586321771507,2.0250000000000004,2.0250000000000004,0.0,26,10,11,0.1136586321771507,0.0,11.622731726435427,4,0,4,1,0,1,2,0,2,0,3,-3,0,0,0,5,1632,1.0064935064935066,0.2792207792207792,0.2022483406116365,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,ファジアーノ岡山,浦和レッズ,1475,1469,6,1497,1449,48,9,10,-1,3,3,16,15,-1,28,29,-1,14,13,20,18,-6,-5,-1,0.2592592592592592,0.3076923076923077,0.4166666666666667,0.1428571428571428,0.2738095238095238,0.5,0.3571428571428571,0.1428571428571428,0.5833333333333334,0.8571428571428571,-0.2738095238095237,0.3840877914951988,0.3703703703703703,0.0137174211248284,1.8225,1.95,-0.1274999999999999,6,1,1,0.0137174211248284,0.1274999999999999,2.3782434842249653,6,4,2,2,1,1,0,1,-1,1,0,1,0,0,1,5,1632,0.8571428571428572,0.1428571428571428,0.1999836086162246,D,32519,0.634618,0.573056,0.636364,13.0,20.0,0.497465,0.422036,0.727273,8.0,18.0,0.13715300000000002,0.15102,-0.0909089999999999,5.0,2.0
1632,2025-05-31,J.League,清水エスパルス,横浜F・マリノス,1501,1529,-28,1484,1498,-14,7,4,3,2,1,9,3,-6,37,46,-9,15,16,15,13,0,3,-3,0.4230769230769231,0.5357142857142857,0.3076923076923077,0.4666666666666667,-0.1589743589743589,0.5384615384615384,0.4666666666666667,0.0717948717948717,0.6923076923076923,0.5333333333333333,0.1589743589743589,0.4273504273504273,0.4232804232804232,0.004070004070004,2.3400000000000003,2.907692307692308,-0.5676923076923073,28,6,9,0.004070004070004,0.5676923076923073,11.41435246235246,1,3,-2,0,1,-1,0,1,-1,2,0,2,0,0,0,5,1632,1.005128205128205,0.0717948717948717,0.1620930861505286,D,32402,0.672743,0.595669,0.909091,12.0,19.0,0.539097,0.460933,0.454545,10.0,18.0,0.13364599999999993,0.13473600000000002,0.454546,2.0,1.0
1632,2025-05-31,J.League,ガンバ大阪,東京ヴェルディ,1520,1506,14,1519,1469,50,7,3,4,2,1,7,11,4,41,35,6,19,15,15,14,4,1,3,0.4230769230769231,0.4166666666666667,0.5,0.2727272727272727,0.2272727272727273,0.7142857142857143,0.3636363636363636,0.3506493506493506,0.5,0.7272727272727273,-0.2272727272727273,0.5413105413105412,0.4629629629629629,0.0783475783475783,2.3400000000000003,2.3142857142857145,0.0257142857142858,14,4,6,0.0783475783475783,0.0257142857142858,5.920812372812373,3,0,3,1,0,1,1,0,1,0,4,-4,1,0,0,5,1632,1.077922077922078,0.3506493506493506,0.2157692907124319,D,32528,0.501257,0.459175,0.727273,9.0,19.0,0.555544,0.495282,0.818182,11.0,20.0,-0.054287000000000085,-0.036107,-0.09090900000000002,-2.0,-1.0
