feature,mean_importance,selected_windows,selection_rate
away_core_MF,0.025760635744374316,10,1.0
attackDefenseRatio,0.0229627539366918,10,1.0
expectedGoalGap,0.022870395174151497,10,1.0
homePlayerBalance,0.021683903942599256,10,1.0
awayPlayerCoreScore,0.021566623522706618,10,1.0
absDefenseDiff,0.02106483914471707,10,1.0
absAttackDiff,0.02102391492806083,10,1.0
absEloDiff,0.021021830260730172,10,1.0
MFCoreDiff,0.020713879590016634,10,1.0
playerMomentumDiff,0.019066855158591266,10,1.0
awayAttackCore,0.01854186119384264,10,1.0
home_core_DF,0.01772480125857901,10,1.0
seasonRound,0.017622121218242675,7,0.7
DFMomentumRatio,0.017617976577638774,3,0.3
awayPlayerBalance,0.017205245173874353,10,1.0
homePlayerMomentum,0.01718315640348131,8,0.8
away_core_DF,0.01707574757441397,10,1.0
awayDefenseMomentum,0.016095227888531943,6,0.6
home_core_MF,0.015056946975022006,10,1.0
attackCoreDiff,0.014434508644892133,10,1.0
defenseMomentumDiff,0.01437975645718989,5,0.5
DFCoreDiff,0.01427839812048789,10,1.0
combinedGoalsPerMatch,0.013805825487258816,10,1.0
homePlayerCoreScore,0.013705083433467996,10,1.0
homeHomeElo,0.013594009810377079,10,1.0
homeDefenseMomentum,0.013505554780587755,10,1.0
awayWinRate,0.013169367603511256,10,1.0
attackRatingDiff,0.013121622088554866,10,1.0
homeAwayWinRateDiff,0.013108800564544157,10,1.0
away_core_FW,0.012981244890258406,10,1.0
home_momentum_FW,0.012711509684364037,5,0.5
playerCoreScoreDiff,0.01270484075326295,10,1.0
homeWinRate,0.012306275259617899,10,1.0
absRankDiff,0.011751927917967907,10,1.0
homeAttackCore,0.011416371588053626,10,1.0
formDiff,0.01127380687901033,10,1.0
home_core_FW,0.011256179008234894,10,1.0
playerBalanceDiff,0.011185396603401008,10,1.0
last3PointsDiff,0.011100802127584531,10,1.0
awayAwayElo,0.011042706009495667,10,1.0
homeAwayDiff,0.011011890011244696,10,1.0
defenseRatingDiff,0.01089430464610894,10,1.0
awayRank,0.0108140985640466,10,1.0
awayGoalsAgainst,0.010605275209723954,10,1.0
homeHomeGoalsPerMatch,0.010343258609759457,10,1.0
awayAttackRating,0.009945736229374827,10,1.0
homeElo,0.009699092571155431,10,1.0
awayAwayWinRate,0.009674843552236101,10,1.0
homeFormPoints,0.009668511136320399,10,1.0
teamStabilityDiff,0.009646554400090743,10,1.0
absPointsDiff,0.009508921995606687,10,1.0
awayPlayerMomentum,0.009028880369333272,9,0.9
homePoints,0.009027823209105845,10,1.0
FWCoreRatio,0.00899462632553641,10,1.0
eloDiff,0.008865690969390704,10,1.0
homeAwayGoalsPerMatchDiff,0.008652703731038575,10,1.0
homeHomeWinRate,0.00855397763579885,10,1.0
awayElo,0.008524869843833873,10,1.0
awayGoalsFor,0.008517450536688388,10,1.0
FWCoreDiff,0.008367153161724226,10,1.0
homeAttackRating,0.008329406153355418,10,1.0
homeGoalsAgainst,0.007924737362495146,10,1.0
awayAwayGoalsPerMatch,0.007788689060470498,10,1.0
unbeatenStreakDiff,0.007716161458635591,10,1.0
homeRank,0.007709476156876169,10,1.0
awayPoints,0.007472963174117638,10,1.0
month,0.007108358261788563,10,1.0
awayFormPoints,0.006940305134504378,10,1.0
awayTeamStability,0.006601348215333244,10,1.0
corePlayerCountDiff,0.006201453849965141,10,1.0
rankDiff,0.00596720943225662,10,1.0
awayUnbeatenStreak,0.005648659887362593,10,1.0
homeGoalsFor,0.00537013051642297,10,1.0
awayLast3Points,0.005296652403286131,10,1.0
FWAvailableRateDiff,0.005179460077427235,10,1.0
pointsDiff,0.004963495437590518,10,1.0
away_available_count_MF,0.004872091865374148,10,1.0
homeCorePlayerCount,0.004626072462031433,10,1.0
homeLast3Points,0.0045803507657570675,10,1.0
availablePlayerCountDiff,0.004368743506153781,10,1.0
goalDifferenceDiff,0.004202624762121196,10,1.0
homeTeamStability,0.004169485476639296,10,1.0
awayCorePlayerCount,0.003712968505390337,10,1.0
DFAvailableRateDiff,0.0036765633321889403,10,1.0
MFStarterCountDiff,0.0036021298435675703,10,1.0
away_starter_count_DF,0.0031127775009746213,10,1.0
homeUnbeatenStreak,0.003017480049454748,10,1.0
away_available_count_FW,0.0029084416083992367,10,1.0
