window,train_round_from,train_round_to,test_round_from,test_round_to,train_rows,test_rows,selected_features,accuracy,macro_f1,log_loss,draw_recall
1,1515,1540,1541,1548,145,41,133,0.3902439024390244,0.2738927738927739,1.8263013958907297,0.0
2,1515,1548,1550,1557,186,32,134,0.5625,0.4850537634408602,1.3241440915310572,0.2
3,1515,1557,1558,1566,218,42,135,0.2857142857142857,0.22575516693163755,2.1034679601000907,0.0
4,1515,1566,1568,1574,260,38,135,0.34210526315789475,0.26380766731643923,2.0091476764067484,0.0
5,1515,1574,1577,1585,298,31,137,0.22580645161290322,0.19395881895881897,2.2699250816728567,0.125
6,1515,1585,1587,1609,329,29,136,0.41379310344827586,0.4016563146997929,1.746986963947798,0.3333333333333333
7,1515,1609,1610,1617,358,28,137,0.32142857142857145,0.25,1.690525799742295,0.0
8,1515,1617,1618,1622,386,27,138,0.5185185185185185,0.49064783847392546,1.5506676999350286,0.25
9,1515,1622,1624,1628,413,30,137,0.26666666666666666,0.1942528735632184,2.4997585344165523,0.0
10,1515,1628,1630,1632,443,20,136,0.25,0.23928571428571424,2.570069715703506,0.16666666666666666
