feature,mean_importance,selected_windows,selection_rate
away_core_MF,0.021924745904467507,10,1.0
MFCoreDiff,0.019023988442703293,10,1.0
DFMomentumRatio,0.017991723922241538,3,0.3
awayPlayerBalance,0.01736839257959726,10,1.0
attackDefenseRatio,0.016705519127887973,10,1.0
playerMomentumDiff,0.016093630520093955,10,1.0
awayAttackCore,0.015683548711651642,10,1.0
defenseMomentumDiff,0.015364346199479984,5,0.5
absAttackDiff,0.015358237867746417,10,1.0
away_core_FW,0.015337154644254763,10,1.0
DFCoreDiff,0.01530498192828142,10,1.0
homePlayerMomentum,0.015291844007747609,8,0.8
playerBalanceDiff,0.015057284022006925,10,1.0
homePlayerCoreScore,0.014839080593741357,10,1.0
playerCoreScoreDiff,0.014468512679532664,10,1.0
home_core_DF,0.01438150150646752,10,1.0
homePlayerBalance,0.014268973950647157,10,1.0
attackRatingDiff,0.014236072780747844,10,1.0
homeDefenseMomentum,0.013744005341034,10,1.0
awayPlayerCoreScore,0.013496479351026732,10,1.0
away_core_DF,0.013463864949887883,10,1.0
absDefenseDiff,0.01322901065648079,10,1.0
homeAwayWinRateDiff,0.013058423703810027,10,1.0
attackCoreDiff,0.012584778557327491,10,1.0
expectedGoalGap,0.012387975066119373,10,1.0
absEloDiff,0.012332666626181158,10,1.0
awayAttackRating,0.011936045551285631,10,1.0
combinedGoalsPerMatch,0.011884698679049345,10,1.0
awayDefenseMomentum,0.01184221961760208,6,0.6
FWCoreRatio,0.011795010770692045,10,1.0
defenseRatingDiff,0.011606562580065989,10,1.0
awayPlayerMomentum,0.011545220090517196,9,0.9
home_core_MF,0.011520844066106942,10,1.0
awayAwayElo,0.011517225878046123,10,1.0
FWCoreDiff,0.011316218343596711,10,1.0
homeDefenseRating,0.011247451125498244,10,1.0
eloDiff,0.011152386792710401,10,1.0
homeAwayDiff,0.011055023194800275,10,1.0
awayDefenseRating,0.010919456091440034,10,1.0
homeWinRate,0.01075037180898694,10,1.0
home_core_FW,0.010736748177766252,10,1.0
homeAwayGoalsPerMatchDiff,0.01065641174749616,10,1.0
homeAttackCore,0.010610233530604937,10,1.0
home_momentum_FW,0.010470266807325882,5,0.5
awayWinRate,0.0104664428671039,10,1.0
homeElo,0.01009649151947418,10,1.0
homeHomeElo,0.010037628882093294,10,1.0
seasonRound,0.009846388719593351,7,0.7
homeAttackRating,0.00961438465409593,10,1.0
awayElo,0.009560875107946839,10,1.0
awayPoints,0.009482296526196638,10,1.0
absRankDiff,0.00947363715019991,10,1.0
homeHomeGoalsPerMatch,0.009432129321586144,10,1.0
homeHomeWinRate,0.009420381672321943,10,1.0
awayAwayWinRate,0.009084392258709436,10,1.0
rankDiff,0.009044864526217349,10,1.0
last3PointsDiff,0.008842784928273785,10,1.0
homePoints,0.008827950473000307,10,1.0
absPointsDiff,0.008518106009285046,10,1.0
awayAwayGoalsPerMatch,0.008399456169889723,10,1.0
homeGoalsAgainst,0.008289364684999976,10,1.0
awayRank,0.008227760967557368,10,1.0
homeRank,0.008039867233295748,10,1.0
pointsDiff,0.007907586633768301,10,1.0
awayGoalsAgainst,0.007673186450609657,10,1.0
formDiff,0.007650174404359149,10,1.0
