window,train_round_from,train_round_to,test_round_from,test_round_to,train_rows,test_rows,selected_features,accuracy,macro_f1,log_loss,draw_recall
1,1515,1540,1541,1548,145,41,133,0.4146341463414634,0.23300389338125185,1.0776696195189321,0.0
2,1515,1548,1550,1557,186,32,134,0.4375,0.30158730158730157,1.005122904284828,0.0
3,1515,1557,1558,1566,218,42,135,0.3333333333333333,0.25745257452574527,1.1364970290299918,0.0
4,1515,1566,1568,1574,260,38,135,0.34210526315789475,0.2415795586527294,1.1245733256560189,0.0
5,1515,1574,1577,1585,298,31,137,0.25806451612903225,0.17129629629629628,1.160889329872028,0.0
6,1515,1585,1587,1609,329,29,136,0.5517241379310345,0.5303703703703704,1.0884921550827662,0.3333333333333333
7,1515,1609,1610,1617,358,28,137,0.35714285714285715,0.2777777777777778,1.0166035470484664,0.0
8,1515,1617,1618,1622,386,27,138,0.5555555555555556,0.5247863247863248,1.0423809890179632,0.25
9,1515,1622,1624,1628,413,30,137,0.23333333333333334,0.18153846153846154,1.2279377940620793,0.0
10,1515,1628,1630,1632,443,20,136,0.35,0.2818627450980392,1.2108844870546134,0.0
