roundNo,homeTeam,awayTeam,model,prediction,actual,probH,probD,probA,confidence,margin,difficulty,ticketType,ticket,coverage,top1,top1Prob,top2,top2Prob,top3,top3Prob,drawSpecialistProb,dynamicAlpha
1632,清水エスパルス,横浜F・マリノス,dynamic,H,D,0.4444018805075788,0.2955878345226188,0.2600102849698023,0.4444018805075788,0.14881404598496,0.8130932639813718,Single,H,0.4444018805075788,H,0.4444018805075788,D,0.2955878345226188,A,0.2600102849698023,0.4368006095572698,0.1
1632,ベガルタ仙台,ヴァンフォーレ甲府,dynamic,A,H,0.2972212729632817,0.3263751292282242,0.376403597808494,0.376403597808494,0.0500284685802697,0.861497157692956,Single,A,0.376403597808494,A,0.376403597808494,D,0.3263751292282242,H,0.2972212729632817,0.4791957222129367,0.1
1632,ガンバ大阪,東京ヴェルディ,dynamic,H,D,0.3517754538052243,0.346176721843682,0.3020478243510937,0.3517754538052243,0.0055987319615422,0.8794223205868147,Triple,HDA,1.0,H,0.3517754538052243,D,0.346176721843682,A,0.3020478243510937,0.5192670417759753,0.25
1632,富山,宮崎,dynamic,A,H,0.2252475669948875,0.372608851369455,0.4021435816356575,0.4021435816356575,0.0295347302662025,0.8564991628678236,Double,AD,0.7747524330051125,A,0.4021435816356575,D,0.372608851369455,H,0.2252475669948875,0.5960010407724051,0.25
1632,ブラウブリッツ秋田,北海道コンサドーレ札幌,dynamic,A,D,0.3464444062336689,0.2526539105232583,0.4009016832430727,0.4009016832430727,0.0544572770094038,0.843621645771715,Double,AH,0.7473460894767416,A,0.4009016832430727,H,0.3464444062336689,D,0.2526539105232583,0.3831318947235956,0.1
1632,ファジアーノ岡山,浦和レッズ,dynamic,H,D,0.4636439405489799,0.1915879484005936,0.3447681110504265,0.4636439405489799,0.1188758294985533,0.7932603485817598,Single,H,0.4636439405489799,H,0.4636439405489799,A,0.3447681110504265,D,0.1915879484005936,0.3515362668281001,0.1
1632,ヴィッセル神戸,鹿島アントラーズ,dynamic,A,H,0.3171591254490482,0.2408370681882315,0.4420038063627202,0.4420038063627202,0.124844680913672,0.8126134827972986,Single,A,0.4420038063627202,A,0.4420038063627202,H,0.3171591254490482,D,0.2408370681882315,0.4014906104558128,0.1
1632,アビスパ福岡,ジェフユナイテッド千葉,dynamic,H,D,0.5456654251831263,0.157073804960785,0.2972607698560885,0.5456654251831263,0.2484046553270377,0.7186414528829803,Single,H,0.5456654251831263,H,0.5456654251831263,A,0.2972607698560885,D,0.157073804960785,0.3214085798269113,0.05
1632,V・ファーレン長崎,水戸ホーリーホック,dynamic,H,H,0.4801332938125165,0.1729372445796519,0.3469294616078316,0.4801332938125165,0.1332038322046848,0.7775673454023259,Double,HA,0.8270627554203481,H,0.4801332938125165,A,0.3469294616078316,D,0.1729372445796519,0.2555083196521244,0.05
1632,セレッソ大阪,FC東京,dynamic,D,D,0.3397265013220795,0.4438447037362102,0.2164287949417101,0.4438447037362102,0.1041182024141307,0.8335418678277202,Single,D,0.4438447037362102,D,0.4438447037362102,H,0.3397265013220795,A,0.2164287949417101,0.6102081139805684,0.25
1632,サンフレッチェ広島,川崎フロンターレ,dynamic,A,A,0.365636741081421,0.2047492706575666,0.4296139882610123,0.4296139882610123,0.0639772471795913,0.8204472147214572,Double,AH,0.7952507293424333,A,0.4296139882610123,H,0.365636741081421,D,0.2047492706575666,0.4074435765996564,0.1
1632,京都サンガF.C.,柏レイソル,dynamic,H,A,0.5481728625843538,0.2773843302781423,0.1744428071375039,0.5481728625843538,0.2707885323062115,0.728315987648553,Single,H,0.5481728625843538,H,0.5481728625843538,D,0.2773843302781423,A,0.1744428071375039,0.5288724555471334,0.25
1632,名古屋グランパス,町田,dynamic,A,H,0.2846840467883455,0.2535603099587172,0.4617556432529373,0.4617556432529373,0.1770715964645918,0.7953444351196167,Single,A,0.4617556432529373,A,0.4617556432529373,H,0.2846840467883455,D,0.2535603099587172,0.4533290752596509,0.1
