homeTeam,awayTeam,prediction,probH,probD,probA,confidence,margin,ticketType,ticket,coverage,top1,top1Prob,top2,top2Prob,top3,top3Prob
清水エスパルス,横浜F・マリノス,H,0.4444018805075788,0.2955878345226188,0.2600102849698023,0.4444018805075788,0.14881404598496,Single,H,0.4444018805075788,H,0.4444018805075788,D,0.2955878345226188,A,0.2600102849698023
ベガルタ仙台,ヴァンフォーレ甲府,A,0.2972212729632817,0.3263751292282243,0.376403597808494,0.376403597808494,0.0500284685802696,Double,AD,0.7027787270367183,A,0.376403597808494,D,0.3263751292282243,H,0.2972212729632817
ガンバ大阪,東京ヴェルディ,H,0.3517754538052243,0.3461767218436821,0.3020478243510936,0.3517754538052243,0.0055987319615422,Triple,HDA,1.0,H,0.3517754538052243,D,0.3461767218436821,A,0.3020478243510936
富山,宮崎,A,0.2252475669948874,0.372608851369455,0.4021435816356576,0.4021435816356576,0.0295347302662025,Double,AD,0.7747524330051125,A,0.4021435816356576,D,0.372608851369455,H,0.2252475669948874
ブラウブリッツ秋田,北海道コンサドーレ札幌,A,0.3464444062336688,0.2526539105232583,0.4009016832430728,0.4009016832430728,0.0544572770094039,Double,AH,0.7473460894767416,A,0.4009016832430728,H,0.3464444062336688,D,0.2526539105232583
ファジアーノ岡山,浦和レッズ,H,0.4636439405489798,0.1915879484005936,0.3447681110504266,0.4636439405489798,0.1188758294985531,Single,H,0.4636439405489798,H,0.4636439405489798,A,0.3447681110504266,D,0.1915879484005936
ヴィッセル神戸,鹿島アントラーズ,A,0.3171591254490484,0.2408370681882314,0.4420038063627201,0.4420038063627201,0.1248446809136716,Single,A,0.4420038063627201,A,0.4420038063627201,H,0.3171591254490484,D,0.2408370681882314
アビスパ福岡,ジェフユナイテッド千葉,H,0.5456654251831264,0.157073804960785,0.2972607698560886,0.5456654251831264,0.2484046553270378,Single,H,0.5456654251831264,H,0.5456654251831264,A,0.2972607698560886,D,0.157073804960785
V・ファーレン長崎,水戸ホーリーホック,H,0.4801332938125165,0.1729372445796519,0.3469294616078316,0.4801332938125165,0.1332038322046849,Single,H,0.4801332938125165,H,0.4801332938125165,A,0.3469294616078316,D,0.1729372445796519
セレッソ大阪,FC東京,D,0.3397265013220796,0.4438447037362101,0.2164287949417102,0.4438447037362101,0.1041182024141305,Single,D,0.4438447037362101,D,0.4438447037362101,H,0.3397265013220796,A,0.2164287949417102
サンフレッチェ広島,川崎フロンターレ,A,0.3656367410814211,0.2047492706575666,0.4296139882610123,0.4296139882610123,0.0639772471795912,Double,AH,0.7952507293424333,A,0.4296139882610123,H,0.3656367410814211,D,0.2047492706575666
京都サンガF.C.,柏レイソル,H,0.5481728625843538,0.2773843302781423,0.1744428071375039,0.5481728625843538,0.2707885323062115,Single,H,0.5481728625843538,H,0.5481728625843538,D,0.2773843302781423,A,0.1744428071375039
名古屋グランパス,町田,A,0.2846840467883454,0.2535603099587172,0.4617556432529373,0.4617556432529373,0.1770715964645918,Single,A,0.4617556432529373,A,0.4617556432529373,H,0.2846840467883454,D,0.2535603099587172
