homeTeam,awayTeam,prediction,probH,probD,probA,confidence,margin,ticketType,ticket,coverage,top1,top1Prob,top2,top2Prob,top3,top3Prob
清水エスパルス,横浜F・マリノス,H,0.4543006342096284,0.2798975261854354,0.2658018396049361,0.4543006342096284,0.174403108024193,Single,H,0.4543006342096284,H,0.4543006342096284,D,0.2798975261854354,A,0.2658018396049361
ベガルタ仙台,ヴァンフォーレ甲府,A,0.3047133312541357,0.309395063341034,0.3858916054048305,0.3858916054048305,0.0764965420637964,Triple,HDA,1.0,A,0.3858916054048305,D,0.309395063341034,H,0.3047133312541357
ガンバ大阪,東京ヴェルディ,H,0.3828179530440462,0.2884799485329177,0.3287020984230367,0.3828179530440462,0.0541158546210094,Double,HA,0.711520051467083,H,0.3828179530440462,A,0.3287020984230367,D,0.2884799485329177
富山,宮崎,A,0.2519818444646443,0.2981447882351384,0.4498733673002172,0.4498733673002172,0.1517285790650788,Single,A,0.4498733673002172,A,0.4498733673002172,D,0.2981447882351384,H,0.2519818444646443
ブラウブリッツ秋田,北海道コンサドーレ札幌,A,0.3531649825353543,0.2381563567232209,0.4086786607414248,0.4086786607414248,0.0555136782060705,Double,AH,0.761843643276779,A,0.4086786607414248,H,0.3531649825353543,D,0.2381563567232209
ファジアーノ岡山,浦和レッズ,H,0.4738366343605621,0.1738159130197595,0.3523474526196783,0.4738366343605621,0.1214891817408838,Single,H,0.4738366343605621,H,0.4738366343605621,A,0.3523474526196783,D,0.1738159130197595
ヴィッセル神戸,鹿島アントラーズ,A,0.3246165696697766,0.2229866746029446,0.4523967557272788,0.4523967557272788,0.1277801860575021,Single,A,0.4523967557272788,A,0.4523967557272788,H,0.3246165696697766,D,0.2229866746029446
アビスパ福岡,ジェフユナイテッド千葉,H,0.5512644547321476,0.1484246062836205,0.3003109389842323,0.5512644547321476,0.2509535157479152,Single,H,0.5512644547321476,H,0.5512644547321476,A,0.3003109389842323,D,0.1484246062836205
V・ファーレン長崎,水戸ホーリーホック,H,0.4826561802172165,0.1685913985232059,0.3487524212595779,0.4826561802172165,0.1339037589576386,Single,H,0.4826561802172165,H,0.4826561802172165,A,0.3487524212595779,D,0.1685913985232059
セレッソ大阪,FC東京,D,0.3736007685096856,0.3883902336547574,0.2380089978355567,0.3883902336547574,0.0147894651450717,Double,DH,0.7619910021644429,D,0.3883902336547574,H,0.3736007685096856,A,0.2380089978355567
サンフレッチェ広島,川崎フロンターレ,A,0.3759916144601893,0.1822276811084455,0.4417807044313652,0.4417807044313652,0.0657890899711758,Double,AH,0.8177723188915544,A,0.4417807044313652,H,0.3759916144601893,D,0.1822276811084455
京都サンガF.C.,柏レイソル,H,0.6117654339013398,0.1935549551884786,0.1946796109101821,0.6117654339013398,0.4170858229911576,Single,H,0.6117654339013398,H,0.6117654339013398,A,0.1946796109101821,D,0.1935549551884786
名古屋グランパス,町田,A,0.2931495637225679,0.2313637804808357,0.4754866557965966,0.4754866557965966,0.1823370920740287,Single,A,0.4754866557965966,A,0.4754866557965966,H,0.2931495637225679,D,0.2313637804808357
