homeTeam,awayTeam,prediction,probH,probD,probA,confidence,margin,ticketType,ticket,coverage,top1,top1Prob,top2,top2Prob,top3,top3Prob
清水エスパルス,横浜F・マリノス,H,0.4930447693343697,0.2033048230712971,0.3036504075943333,0.4930447693343697,0.1893943617400364,Single,H,0.4930447693343697,H,0.4930447693343697,A,0.3036504075943333,D,0.2033048230712971
ベガルタ仙台,ヴァンフォーレ甲府,A,0.3549474665172771,0.2250153103055973,0.4200372231771259,0.4200372231771259,0.0650897566598487,Double,AH,0.774984689694403,A,0.4200372231771259,H,0.3549474665172771,D,0.2250153103055973
ガンバ大阪,東京ヴェルディ,H,0.4520533275403181,0.2042569565616534,0.3436897158980294,0.4520533275403181,0.1083636116422886,Single,H,0.4520533275403181,H,0.4520533275403181,A,0.3436897158980294,D,0.2042569565616534
富山,宮崎,A,0.2936674840412086,0.2748562320270056,0.4314762839317859,0.4314762839317859,0.1378087998905772,Single,A,0.4314762839317859,A,0.4314762839317859,H,0.2936674840412086,D,0.2748562320270056
ブラウブリッツ秋田,北海道コンサドーレ札幌,A,0.3438555005211255,0.2389324701010736,0.4172120293778007,0.4172120293778007,0.0733565288566751,Double,AH,0.7610675298989262,A,0.4172120293778007,H,0.3438555005211255,D,0.2389324701010736
ファジアーノ岡山,浦和レッズ,H,0.5021083509895221,0.1899623868139001,0.307929262196578,0.5021083509895221,0.194179088792944,Single,H,0.5021083509895221,H,0.5021083509895221,A,0.307929262196578,D,0.1899623868139001
ヴィッセル神戸,鹿島アントラーズ,A,0.3180574969051699,0.2368551566991877,0.4450873463956424,0.4450873463956424,0.1270298494904725,Single,A,0.4450873463956424,A,0.4450873463956424,H,0.3180574969051699,D,0.2368551566991877
アビスパ福岡,ジェフユナイテッド千葉,H,0.5347972963120277,0.1548034743858591,0.3103992293021136,0.5347972963120277,0.224398067009914,Single,H,0.5347972963120277,H,0.5347972963120277,A,0.3103992293021136,D,0.1548034743858591
V・ファーレン長崎,水戸ホーリーホック,H,0.4553612608809937,0.1911386142206546,0.3535001248983524,0.4553612608809937,0.1018611359826413,Single,H,0.4553612608809937,H,0.4553612608809937,A,0.3535001248983524,D,0.1911386142206546
セレッソ大阪,FC東京,H,0.4248478975535822,0.2966917933707914,0.2784603090756263,0.4248478975535822,0.1281561041827907,Triple,HDA,1.0,H,0.4248478975535822,D,0.2966917933707914,A,0.2784603090756263
サンフレッチェ広島,川崎フロンターレ,A,0.3929987511215078,0.1797553095647053,0.427245939313787,0.427245939313787,0.0342471881922792,Double,AH,0.8202446904352948,A,0.427245939313787,H,0.3929987511215078,D,0.1797553095647053
京都サンガF.C.,柏レイソル,H,0.6034754579050635,0.1574029722526548,0.2391215698422824,0.6034754579050635,0.3643538880627811,Single,H,0.6034754579050635,H,0.6034754579050635,A,0.2391215698422824,D,0.1574029722526548
名古屋グランパス,町田,A,0.3634643336234756,0.2140175020147753,0.4225181643617494,0.4225181643617494,0.0590538307382737,Double,AH,0.785982497985225,A,0.4225181643617494,H,0.3634643336234756,D,0.2140175020147753
