confidence_rank,rows,top1_accuracy,top2_coverage,mean_top1_probability,mean_top1_margin,mean_certainty_score
1,127,0.4015748031496063,0.6771653543307087,0.5001625537185551,0.22350052906385703,0.3158600227195661
2,127,0.4330708661417323,0.7086614173228346,0.4852847790200487,0.19946080499830127,0.2991024017429039
3,127,0.49606299212598426,0.7637795275590551,0.45871939814927865,0.15516290759104492,0.2684839697157999
4,127,0.4645669291338583,0.7322834645669292,0.44614509417038234,0.13425636978456423,0.25447979506637936
5,127,0.4094488188976378,0.6456692913385826,0.4287013860573874,0.11153374608379356,0.2368103373142014
6,127,0.3543307086614173,0.6062992125984252,0.4207380736231866,0.0981239333063274,0.2280878017760828
7,127,0.3937007874015748,0.7086614173228346,0.41089812326522845,0.08070900796291872,0.21713038490192763
8,127,0.4094488188976378,0.7007874015748031,0.4021006300363848,0.06682299660099757,0.20778586629317225
9,127,0.3858267716535433,0.6850393700787402,0.3928417339367532,0.055433974580474436,0.1989428679536106
10,127,0.33070866141732286,0.6771653543307087,0.3842219348431489,0.044261126776039404,0.19055126577347084
11,127,0.31496062992125984,0.6771653543307087,0.37653168396846187,0.0353103761562728,0.1834600386886434
12,127,0.4015748031496063,0.7244094488188977,0.3661161165203943,0.022444677187112322,0.17386568714181574
13,127,0.3858267716535433,0.7322834645669292,0.360428832372434,0.01760071032349862,0.16930048744023515
