top_k,rounds,top1_accuracy,mean_hits,all_correct_rounds,all_correct_rate,one_miss_or_better_rounds,one_miss_or_better_rate,two_miss_or_better_rounds,two_miss_or_better_rate
1,127,0.4015748031496063,0.4015748031496063,51,0.4015748031496063,127,1.0,127,1.0
2,127,0.41732283464566927,0.8346456692913385,43,0.33858267716535434,63,0.49606299212598426,127,1.0
3,127,0.4435695538057743,1.330708661417323,27,0.2125984251968504,53,0.41732283464566927,89,0.7007874015748031
4,127,0.44881889763779526,1.795275590551181,20,0.15748031496062992,34,0.2677165354330709,77,0.6062992125984252
5,127,0.4409448818897638,2.204724409448819,7,0.05511811023622047,25,0.1968503937007874,53,0.41732283464566927
6,127,0.42650918635170604,2.559055118110236,2,0.015748031496062992,14,0.11023622047244094,37,0.29133858267716534
7,127,0.421822272215973,2.952755905511811,1,0.007874015748031496,8,0.06299212598425197,28,0.2204724409448819
8,127,0.4202755905511811,3.3622047244094486,1,0.007874015748031496,6,0.047244094488188976,16,0.12598425196850394
9,127,0.41644794400699914,3.748031496062992,0,0.0,4,0.031496062992125984,12,0.09448818897637795
10,127,0.4078740157480315,4.078740157480315,0,0.0,3,0.023622047244094488,7,0.05511811023622047
11,127,0.3994273443092341,4.393700787401575,0,0.0,2,0.015748031496062992,4,0.031496062992125984
12,127,0.39960629921259844,4.7952755905511815,0,0.0,1,0.007874015748031496,4,0.031496062992125984
13,127,0.3985463355542096,5.181102362204724,0,0.0,0,0.0,3,0.023622047244094488
