round_no,fixed_count,double_count,base_ticket_count,fixed_hits,fixed_misses,double_top2_hits,double_top2_misses,strategy_best_hits,strategy_best_misses,fixed_all_correct,fixed_one_miss_or_better,doubles_all_covered,exact_result_covered
1591,8,5,32,2,6,2,3,4,9,False,False,False,False
1589,8,5,32,5,3,3,2,8,5,False,False,False,False
1585,8,5,32,5,3,3,2,8,5,False,False,False,False
1583,8,5,32,3,5,5,0,8,5,False,False,True,False
1582,8,5,32,7,1,5,0,12,1,False,True,True,False
1580,8,5,32,4,4,5,0,9,4,False,False,True,False
1574,8,5,32,3,5,5,0,8,5,False,False,True,False
1572,8,5,32,1,7,4,1,5,8,False,False,False,False
1570,8,5,32,2,6,5,0,7,6,False,False,True,False
1568,8,5,32,0,8,3,2,3,10,False,False,False,False
1566,8,5,32,4,4,1,4,5,8,False,False,False,False
1564,8,5,32,3,5,2,3,5,8,False,False,False,False
1562,8,5,32,0,8,2,3,2,11,False,False,False,False
1560,8,5,32,3,5,3,2,6,7,False,False,False,False
1558,8,5,32,1,7,5,0,6,7,False,False,True,False
1556,8,5,32,2,6,4,1,6,7,False,False,False,False
1554,8,5,32,3,5,4,1,7,6,False,False,False,False
1552,8,5,32,1,7,3,2,4,9,False,False,False,False
1551,8,5,32,2,6,1,4,3,10,False,False,False,False
1550,8,5,32,5,3,3,2,8,5,False,False,False,False
1548,8,5,32,2,6,5,0,7,6,False,False,True,False
1547,8,5,32,5,3,3,2,8,5,False,False,False,False
1542,8,5,32,5,3,5,0,10,3,False,False,True,False
1541,8,5,32,1,7,5,0,6,7,False,False,True,False
1539,8,5,32,2,6,3,2,5,8,False,False,False,False
1537,8,5,32,3,5,3,2,6,7,False,False,False,False
1535,8,5,32,3,5,3,2,6,7,False,False,False,False
1534,8,5,32,6,2,5,0,11,2,False,False,True,False
1533,8,5,32,3,5,1,4,4,9,False,False,False,False
1532,8,5,32,3,5,3,2,6,7,False,False,False,False
1531,8,5,32,5,3,4,1,9,4,False,False,False,False
1529,8,5,32,2,6,2,3,4,9,False,False,False,False
1526,8,5,32,1,7,5,0,6,7,False,False,True,False
1524,8,5,32,6,2,5,0,11,2,False,False,True,False
1522,8,5,32,6,2,3,2,9,4,False,False,False,False
1520,8,5,32,6,2,2,3,8,5,False,False,False,False
1519,8,5,32,3,5,5,0,8,5,False,False,True,False
1518,8,5,32,5,3,2,3,7,6,False,False,False,False
1516,8,5,32,3,5,5,0,8,5,False,False,True,False
1515,8,5,32,8,0,4,1,12,1,True,True,False,False
1492,8,5,32,7,1,2,3,9,4,False,True,False,False
1490,8,5,32,4,4,4,1,8,5,False,False,False,False
1489,8,5,32,4,4,3,2,7,6,False,False,False,False
1487,8,5,32,2,6,5,0,7,6,False,False,True,False
1485,8,5,32,3,5,5,0,8,5,False,False,True,False
1483,8,5,32,4,4,5,0,9,4,False,False,True,False
1481,8,5,32,4,4,5,0,9,4,False,False,True,False
1479,8,5,32,4,4,3,2,7,6,False,False,False,False
1478,8,5,32,5,3,5,0,10,3,False,False,True,False
1473,8,5,32,3,5,3,2,6,7,False,False,False,False
1472,8,5,32,6,2,3,2,9,4,False,False,False,False
1471,8,5,32,1,7,1,4,2,11,False,False,False,False
1469,8,5,32,1,7,4,1,5,8,False,False,False,False
1468,8,5,32,5,3,1,4,6,7,False,False,False,False
1466,8,5,32,6,2,2,3,8,5,False,False,False,False
1465,8,5,32,3,5,5,0,8,5,False,False,True,False
1463,8,5,32,5,3,5,0,10,3,False,False,True,False
1462,8,5,32,2,6,4,1,6,7,False,False,False,False
1457,8,5,32,2,6,5,0,7,6,False,False,True,False
1456,8,5,32,3,5,5,0,8,5,False,False,True,False
1454,8,5,32,3,5,5,0,8,5,False,False,True,False
1452,8,5,32,0,8,5,0,5,8,False,False,True,False
1451,8,5,32,1,7,2,3,3,10,False,False,False,False
1450,8,5,32,3,5,2,3,5,8,False,False,False,False
1449,8,5,32,1,7,2,3,3,10,False,False,False,False
1447,8,5,32,4,4,4,1,8,5,False,False,False,False
1445,8,5,32,2,6,5,0,7,6,False,False,True,False
1443,8,5,32,5,3,5,0,10,3,False,False,True,False
1442,8,5,32,3,5,1,4,4,9,False,False,False,False
1441,8,5,32,7,1,5,0,12,1,False,True,True,False
1439,8,5,32,2,6,2,3,4,9,False,False,False,False
1438,8,5,32,0,8,4,1,4,9,False,False,False,False
1437,8,5,32,2,6,5,0,7,6,False,False,True,False
1435,8,5,32,5,3,5,0,10,3,False,False,True,False
1433,8,5,32,2,6,4,1,6,7,False,False,False,False
1431,8,5,32,3,5,1,4,4,9,False,False,False,False
1413,8,5,32,4,4,2,3,6,7,False,False,False,False
1412,8,5,32,1,7,4,1,5,8,False,False,False,False
1407,8,5,32,4,4,5,0,9,4,False,False,True,False
1406,8,5,32,3,5,5,0,8,5,False,False,True,False
1405,8,5,32,0,8,3,2,3,10,False,False,False,False
1404,8,5,32,4,4,4,1,8,5,False,False,False,False
1402,8,5,32,4,4,0,5,4,9,False,False,False,False
1400,8,5,32,2,6,5,0,7,6,False,False,True,False
1399,8,5,32,4,4,5,0,9,4,False,False,True,False
1397,8,5,32,3,5,4,1,7,6,False,False,False,False
1396,8,5,32,4,4,4,1,8,5,False,False,False,False
1394,8,5,32,3,5,5,0,8,5,False,False,True,False
1392,8,5,32,4,4,3,2,7,6,False,False,False,False
1390,8,5,32,3,5,4,1,7,6,False,False,False,False
1387,8,5,32,7,1,4,1,11,2,False,True,False,False
1386,8,5,32,1,7,4,1,5,8,False,False,False,False
1384,8,5,32,3,5,2,3,5,8,False,False,False,False
1383,8,5,32,2,6,4,1,6,7,False,False,False,False
1380,8,5,32,6,2,2,3,8,5,False,False,False,False
1378,8,5,32,4,4,4,1,8,5,False,False,False,False
1376,8,5,32,4,4,4,1,8,5,False,False,False,False
1373,8,5,32,5,3,3,2,8,5,False,False,False,False
1371,8,5,32,3,5,2,3,5,8,False,False,False,False
1370,8,5,32,4,4,2,3,6,7,False,False,False,False
1368,8,5,32,5,3,4,1,9,4,False,False,False,False
1367,8,5,32,3,5,3,2,6,7,False,False,False,False
1366,8,5,32,5,3,5,0,10,3,False,False,True,False
1365,8,5,32,4,4,2,3,6,7,False,False,False,False
1364,8,5,32,4,4,2,3,6,7,False,False,False,False
1363,8,5,32,4,4,5,0,9,4,False,False,True,False
1361,8,5,32,2,6,3,2,5,8,False,False,False,False
1360,8,5,32,5,3,5,0,10,3,False,False,True,False
1358,8,5,32,2,6,2,3,4,9,False,False,False,False
1356,8,5,32,6,2,4,1,10,3,False,False,False,False
1355,8,5,32,6,2,3,2,9,4,False,False,False,False
1353,8,5,32,3,5,2,3,5,8,False,False,False,False
1352,8,5,32,5,3,3,2,8,5,False,False,False,False
1351,8,5,32,6,2,3,2,9,4,False,False,False,False
1334,8,5,32,3,5,2,3,5,8,False,False,False,False
1333,8,5,32,2,6,3,2,5,8,False,False,False,False
1332,8,5,32,4,4,2,3,6,7,False,False,False,False
1331,8,5,32,7,1,4,1,11,2,False,True,False,False
