top1_probability_threshold,rows,share_of_matches,realized_top1_accuracy,realized_top2_coverage
0.34,1642,0.9945487583282859,0.39646772228989036,0.694884287454324
0.36,1493,0.9043004239854634,0.4092431346282652,0.6979236436704621
0.38,1223,0.74076317383404,0.4129190515126738,0.6860179885527392
0.4,926,0.5608721986674743,0.4265658747300216,0.712742980561555
0.42,661,0.4003634161114476,0.43267776096822996,0.7155824508320726
0.45,376,0.22774076317383404,0.4095744680851064,0.6914893617021277
0.48,213,0.12901271956390067,0.49295774647887325,0.7276995305164319
0.5,125,0.07571168988491823,0.488,0.736
0.55,36,0.021804966686856452,0.5,0.7222222222222222
0.6,11,0.006662628709872804,0.5454545454545454,0.7272727272727273
