column,missing_count,dtype
available_count_GKRatio,2,float64
available_count_FWRatio,1,float64
available_count_MFRatio,1,float64
core_GKRatio,1,float64
momentum_GKRatio,1,float64
available_count_DFDiff,0,float64
available_count_DFRatio,0,float64
available_count_FWDiff,0,float64
available_count_GKDiff,0,float64
available_count_MFDiff,0,float64
available_player_countDiff,0,float64
available_player_countRatio,0,float64
away_available_count_DF,0,float64
away_available_count_FW,0,float64
away_available_count_GK,0,float64
away_available_count_MF,0,float64
away_available_player_count,0,float64
away_core_DF,0,float64
away_core_FW,0,float64
away_core_GK,0,float64
away_core_MF,0,float64
away_core_player_count,0,float64
away_momentum_DF,0,float64
away_momentum_FW,0,float64
away_momentum_GK,0,float64
away_momentum_MF,0,float64
away_starter_count_DF,0,float64
away_starter_count_FW,0,float64
away_starter_count_GK,0,float64
away_starter_count_MF,0,float64
away_team,0,str
away_team_core_score,0,float64
away_team_momentum,0,float64
away_team_stability,0,float64
competition,0,str
core_DFDiff,0,float64
core_DFRatio,0,float64
core_FWDiff,0,float64
core_FWRatio,0,float64
core_GKDiff,0,float64
core_MFDiff,0,float64
core_MFRatio,0,float64
core_player_countDiff,0,float64
core_player_countRatio,0,float64
h2h_average_away_goals,0,float64
h2h_average_goal_difference,0,float64
h2h_average_home_goals,0,float64
h2h_away_points_per_game,0,float64
h2h_away_unbeaten_streak,0,int64
h2h_away_win_rate,0,float64
h2h_btts_rate,0,float64
h2h_confidence,0,float64
h2h_days_since_last_match,0,int64
h2h_draw_rate,0,float64
h2h_home_points_per_game,0,float64
h2h_home_unbeaten_streak,0,int64
h2h_home_win_rate,0,float64
h2h_last3_away_win_rate,0,float64
h2h_last3_draw_rate,0,float64
h2h_last3_goal_difference,0,float64
h2h_last3_home_win_rate,0,float64
h2h_last5_away_win_rate,0,float64
h2h_last5_draw_rate,0,float64
h2h_last5_goal_difference,0,float64
h2h_last5_home_win_rate,0,float64
h2h_matches,0,int64
h2h_over_2_5_rate,0,float64
h2h_same_venue_away_win_rate,0,float64
h2h_same_venue_draw_rate,0,float64
h2h_same_venue_goal_difference,0,float64
h2h_same_venue_home_win_rate,0,float64
h2h_same_venue_matches,0,int64
h2h_weighted_away_win_rate,0,float64
h2h_weighted_draw_rate,0,float64
h2h_weighted_goal_difference,0,float64
h2h_weighted_home_win_rate,0,float64
home_available_count_DF,0,float64
home_available_count_FW,0,float64
home_available_count_GK,0,float64
home_available_count_MF,0,float64
home_available_player_count,0,float64
home_core_DF,0,float64
home_core_FW,0,float64
home_core_GK,0,float64
home_core_MF,0,float64
home_core_player_count,0,float64
home_momentum_DF,0,float64
home_momentum_FW,0,float64
home_momentum_GK,0,float64
home_momentum_MF,0,float64
home_starter_count_DF,0,float64
home_starter_count_FW,0,float64
home_starter_count_GK,0,float64
home_starter_count_MF,0,float64
home_team,0,str
home_team_core_score,0,float64
home_team_momentum,0,float64
home_team_stability,0,float64
market_prob_away,0,float64
market_prob_draw,0,float64
market_prob_home,0,float64
match_card_id,0,int64
match_date,0,str
momentum_DFDiff,0,float64
momentum_DFRatio,0,float64
momentum_FWDiff,0,float64
momentum_FWRatio,0,float64
momentum_GKDiff,0,float64
momentum_MFDiff,0,float64
momentum_MFRatio,0,float64
position_feature_matched,0,int64
round,0,int64
round_id,0,int64
season,0,int64
starter_count_DFDiff,0,float64
starter_count_DFRatio,0,float64
starter_count_FWDiff,0,float64
starter_count_FWRatio,0,float64
starter_count_GKDiff,0,float64
starter_count_GKRatio,0,float64
starter_count_MFDiff,0,float64
starter_count_MFRatio,0,float64
team_core_scoreDiff,0,float64
team_core_scoreRatio,0,float64
team_feature_matched,0,int64
team_momentumDiff,0,float64
team_momentumRatio,0,float64
team_stabilityDiff,0,float64
team_stabilityRatio,0,float64
toto_match_no,0,int64
