column,missing_count,missing_ratio
match_card_id,0,0.0
h2h_matches,0,0.0
h2h_home_win_rate,0,0.0
h2h_draw_rate,0,0.0
h2h_away_win_rate,0,0.0
h2h_home_points_per_game,0,0.0
h2h_away_points_per_game,0,0.0
h2h_average_home_goals,0,0.0
h2h_average_away_goals,0,0.0
h2h_average_goal_difference,0,0.0
h2h_btts_rate,0,0.0
h2h_over_2_5_rate,0,0.0
h2h_last3_home_win_rate,0,0.0
h2h_last3_draw_rate,0,0.0
h2h_last3_away_win_rate,0,0.0
h2h_last3_goal_difference,0,0.0
h2h_last5_home_win_rate,0,0.0
h2h_last5_draw_rate,0,0.0
h2h_last5_away_win_rate,0,0.0
h2h_last5_goal_difference,0,0.0
h2h_same_venue_matches,0,0.0
h2h_same_venue_home_win_rate,0,0.0
h2h_same_venue_draw_rate,0,0.0
h2h_same_venue_away_win_rate,0,0.0
h2h_same_venue_goal_difference,0,0.0
h2h_weighted_home_win_rate,0,0.0
h2h_weighted_draw_rate,0,0.0
h2h_weighted_away_win_rate,0,0.0
h2h_weighted_goal_difference,0,0.0
h2h_days_since_last_match,0,0.0
h2h_home_unbeaten_streak,0,0.0
h2h_away_unbeaten_streak,0,0.0
h2h_confidence,0,0.0
