feature,dtype,missing
home_team_core_score,float64,0
home_team_momentum,float64,0
home_team_stability,float64,0
home_core_player_count,int64,0
home_available_player_count,int64,0
away_team_core_score,float64,0
away_team_momentum,float64,0
away_team_stability,float64,0
away_core_player_count,int64,0
away_available_player_count,int64,0
home_core_GK,float64,0
home_momentum_GK,float64,0
home_starter_count_GK,int64,0
home_available_count_GK,int64,0
home_core_DF,float64,0
home_momentum_DF,float64,0
home_starter_count_DF,int64,0
home_available_count_DF,int64,0
home_core_MF,float64,0
home_momentum_MF,float64,0
home_starter_count_MF,int64,0
home_available_count_MF,int64,0
home_core_FW,float64,0
home_momentum_FW,float64,0
home_starter_count_FW,int64,0
home_available_count_FW,int64,0
away_core_GK,float64,0
away_momentum_GK,float64,0
away_starter_count_GK,int64,0
away_available_count_GK,int64,0
away_core_DF,float64,0
away_momentum_DF,float64,0
away_starter_count_DF,int64,0
away_available_count_DF,int64,0
away_core_MF,float64,0
away_momentum_MF,float64,0
away_starter_count_MF,int64,0
away_available_count_MF,int64,0
away_core_FW,float64,0
away_momentum_FW,float64,0
away_starter_count_FW,int64,0
away_available_count_FW,int64,0
team_core_scoreDiff,float64,0
team_core_scoreRatio,float64,30
team_momentumDiff,float64,0
team_momentumRatio,float64,30
team_stabilityDiff,float64,0
team_stabilityRatio,float64,31
core_player_countDiff,int64,0
core_player_countRatio,float64,30
available_player_countDiff,int64,0
available_player_countRatio,float64,30
core_GKDiff,float64,0
core_GKRatio,float64,145
momentum_GKDiff,float64,0
momentum_GKRatio,float64,173
starter_count_GKDiff,int64,0
starter_count_GKRatio,float64,0
available_count_GKDiff,int64,0
available_count_GKRatio,float64,530
core_DFDiff,float64,0
core_DFRatio,float64,30
momentum_DFDiff,float64,0
momentum_DFRatio,float64,30
starter_count_DFDiff,int64,0
starter_count_DFRatio,float64,0
available_count_DFDiff,int64,0
available_count_DFRatio,float64,35
core_MFDiff,float64,0
core_MFRatio,float64,30
momentum_MFDiff,float64,0
momentum_MFRatio,float64,31
starter_count_MFDiff,int64,0
starter_count_MFRatio,float64,0
available_count_MFDiff,int64,0
available_count_MFRatio,float64,38
core_FWDiff,float64,0
core_FWRatio,float64,37
momentum_FWDiff,float64,0
momentum_FWRatio,float64,39
starter_count_FWDiff,int64,0
starter_count_FWRatio,float64,18
available_count_FWDiff,int64,0
available_count_FWRatio,float64,192
team_feature_matched,int64,0
position_feature_matched,int64,0
