feature,dtype,missing_count,minimum,maximum,mean
h2h_matches,int64,0,0.0,10.0,2.7987398739873988
h2h_home_win_rate,float64,0,0.0,1.0,0.2818051805180518
h2h_draw_rate,float64,0,0.0,1.0,0.222019987713057
h2h_away_win_rate,float64,0,0.0,1.0,0.29833504779049336
h2h_home_points_per_game,float64,0,0.0,3.0,1.0674355292672124
h2h_away_points_per_game,float64,0,0.0,3.0,1.117025131084537
h2h_average_home_goals,float64,0,0.0,8.0,0.9644363007729344
h2h_average_away_goals,float64,0,0.0,9.0,0.9987277299158488
h2h_average_goal_difference,float64,0,-8.0,7.0,-0.03429142914291428
h2h_btts_rate,float64,0,0.0,1.0,0.40136856542797134
h2h_over_2_5_rate,float64,0,0.0,1.0,0.36288478847884786
h2h_last3_home_win_rate,float64,0,0.0,1.0,0.2806180618061806
h2h_last3_draw_rate,float64,0,0.0,1.0,0.22187218721872187
h2h_last3_away_win_rate,float64,0,0.0,1.0,0.2996699669966997
h2h_last3_goal_difference,float64,0,-8.0,7.0,-0.04116411641164116
h2h_last5_home_win_rate,float64,0,0.0,1.0,0.2818151815181518
h2h_last5_draw_rate,float64,0,0.0,1.0,0.22156915691569157
h2h_last5_away_win_rate,float64,0,0.0,1.0,0.2987758775877588
h2h_last5_goal_difference,float64,0,-8.0,7.0,-0.035754575457545755
h2h_same_venue_matches,int64,0,0.0,5.0,1.1494149414941495
h2h_same_venue_home_win_rate,float64,0,0.0,1.0,0.2321092109210921
h2h_same_venue_draw_rate,float64,0,0.0,1.0,0.16680768076807678
h2h_same_venue_away_win_rate,float64,0,0.0,1.0,0.2054035403540354
h2h_same_venue_goal_difference,float64,0,-7.0,8.0,0.05876387638763877
h2h_weighted_home_win_rate,float64,0,0.0,1.0,0.2804209149445735
h2h_weighted_draw_rate,float64,0,0.0,1.0,0.2215379424263457
h2h_weighted_away_win_rate,float64,0,0.0,1.0,0.300201358650683
h2h_weighted_goal_difference,float64,0,-8.0,7.0,-0.04069817512385412
h2h_days_since_last_match,int64,0,3.0,3650.0,876.8702070207021
h2h_home_unbeaten_streak,int64,0,0.0,9.0,0.9663366336633663
h2h_away_unbeaten_streak,int64,0,0.0,9.0,1.0547254725472548
h2h_confidence,float64,0,0.0,1.0,0.3467371737173717
