training_team,normalized_team,unmatched_rows
V・ファーレン長崎,長崎,37
ブラウブリッツ秋田,秋田,36
モンテディオ山形,山形,36
ジェフユナイテッド千葉,千葉,35
水戸ホーリーホック,水戸,32
富山,富山,30
ヴァンフォーレ甲府,甲府,29
FC今治,FC今治,27
いわきFC,いわき,26
藤枝MYFC,藤枝,23
山口,山口,23
熊本,熊本,21
大宮,大宮,18
愛媛FC,愛媛,18
ﾘｳﾞｧﾌﾟ,リヴァプ,15
八戸,八戸,14
ｱｰｾﾅﾙ,アーセナル,14
ﾊﾞｲｴﾙﾝ,バイエルン,13
ｸﾘｽﾀﾙ,クリスタル,13
宮崎,宮崎,12
ﾏﾝC,マンC,12
ﾌﾗﾝｸﾌﾙ,フランクフル,12
ﾌﾗｲﾌﾞﾙ,フライブル,12
ﾄﾃﾅﾑ,トテナム,11
ﾁｪﾙｼｰ,チェルシー,11
ﾄﾞﾙﾄ,ドルト,11
ﾚｳﾞｧｰ,レヴァー,11
ﾎｯﾌｪﾝ,ホッフェン,11
ﾌﾞﾗｲﾄﾝ,ブライトン,11
ｳﾞｫﾙﾌｽ,ヴォルフス,11
0,0,11
栃木シティ,栃木シティ,10
2,2,10
1,1,10
ﾒﾝﾍﾝ,メンヘン,10
ｼｭﾂｯﾄ,シュツット,10
ﾗｲﾌﾟﾂｨ,ライプツィ,10
ｱｳｸﾞｽ,アウグス,10
ﾊﾟｳﾘ,パウリ,10
ﾏｲﾝﾂ,マインツ,9
ﾊｲﾃﾞﾝﾊ,ハイデンハ,9
ﾆｭｶｯｽﾙ,ニュカッスル,9
ﾌﾞﾚﾝﾄ,ブレント,9
福島,福島,8
FC大阪,FC大阪,8
ｳﾆｵﾝ,ウニオン,8
ﾉｯﾃｨﾝ,ノッティン,8
ﾎﾞﾝﾏｳｽ,ボンマウス,8
ﾏﾝU,マンU,8
鳥取,鳥取,7
相模原,相模原,7
ﾌﾞﾚｰﾒﾝ,ブレーメン,7
ﾘｰｽﾞ,リーズ,7
FC琉球,FC琉球,6
鹿児島,鹿児島,6
高知,高知,6
岐阜,岐阜,6
松本,松本,6
讃岐,讃岐,6
ｸﾛｱﾁｱ,クロアチア,6
3,3,6
ﾊﾝﾌﾞﾙｶ,ハンブルカ,5
ｹﾙﾝ,ケルン,5
ﾊﾞｰﾝﾘｰ,バーンリー,5
ｳｪｽﾄﾊﾑ,ウェストハム,5
ﾓﾝﾃﾈｸﾞ,モンテネグ,5
北九州,北九州,5
ﾎﾞｰﾌﾑ,ボーフム,5
ｴｳﾞｧﾄﾝ,エヴァトン,4
ﾌﾗﾑ,フラム,4
ｻﾝﾀﾞｰ,サンダー,4
ｱｽﾄﾝ,アストン,4
ｳﾙｳﾞｧｰ,ウルヴァー,4
群馬,群馬,4
ﾄﾞｲﾂ,ドイツ,4
ｽﾛﾊﾞｷｱ,スロバキア,4
ｳｪｰﾙｽﾞ,ウェールズ,4
北マケ,北マケ,4
ｺｿﾎﾞ,コソボ,4
ｽｲｽ,スイス,4
ｵﾗﾝﾀﾞ,オランダ,4
ｵｰｽﾄﾘｱ,オーストリア,4
ｽｳｪﾃﾞﾝ,スウェデン,4
ｽﾛﾍﾞﾆｱ,スロベニア,4
北アイ,北アイ,4
ﾙｸｾﾝﾌﾞ,ルクセンブ,4
ﾎﾟｰﾗﾝ,ポーラン,4
長野,長野,4
沼津,沼津,4
ﾌｪﾛｰ,フェロー,4
ﾌｨﾝﾗﾝ,フィンラン,4
栃木SC,栃木,4
ﾍﾞﾙｷﾞｰ,ベルギー,4
ﾁｪｺ,チェコ,4
ﾎﾙｽﾀｲﾝ,ホルスタイン,4
ｻｳｻﾞﾝ,サウザン,4
ｱﾀﾗﾝﾀ,アタランタ,3
ﾊﾟﾘSG,パリSG,3
Rﾏﾄﾞﾘｰ,Rマドリー,3
ﾃﾞﾝﾏｰｸ,デンマーク,3
ﾘﾄｱﾆｱ,リトアニア,3
ﾎﾞｽﾆｱ,ボスニア,3
ﾏﾙﾀ,マルタ,3
ｱｲｽﾗﾝ,アイスラン,3
ﾉﾙｳｪｰ,ノルウェー,3
ｴｽﾄﾆｱ,エストニア,3
ｼﾞﾌﾞﾗﾙ,ジブラル,3
ｷﾞﾘｼｬ,ギリシャ,3
ﾌﾗﾝｽ,フランス,3
金沢,金沢,3
Aﾏﾄﾞﾘｰ,Aマドリー,2
ｸﾞﾘﾑﾄ,グリムト,2
ｽﾎﾟﾙﾃｨ,スポルティ,2
ｲﾝﾃﾙ,インテル,2
ﾓﾅｺ,モナコ,2
ﾍﾞﾝﾌｨｶ,ベンフィカ,2
ｽｺｯﾄﾗﾝ,スコットラン,2
ﾙｰﾏﾆｱ,ルーマニア,2
ｻﾝﾏﾘﾉ,サンマリノ,2
ｲﾝｸﾞﾗﾝ,イングラン,2
ｾﾙﾋﾞｱ,セルビア,2
ﾎﾟﾙﾄｶﾞ,ポルトガ,2
ｱｾﾞﾙﾊﾞ,アゼルバ,2
ﾊﾝｶﾞﾘｰ,ハンガリー,2
ｱﾙﾊﾞﾆｱ,アルバニア,2
ｲﾀﾘｱ,イタリア,2
奈良,奈良,2
日本,日本,2
ｲﾝﾄﾞﾈｼ,インドネシ,2
中国,中国,2
ﾊﾞｰﾚｰﾝ,バーレーン,2
ｻｳｼﾞ,サウジ,2
ｵｰｽﾄﾗﾘ,オーストラリ,2
韓国,韓国,2
ｸｳｪｰﾄ,クウェート,2
ｳｽﾞﾍﾞｷ,ウズベキ,2
ｶﾀｰﾙ,カタール,2
ﾖﾙﾀﾞﾝ,ヨルダン,2
ｲﾗｸ,イラク,2
UAE,UAE,2
ｲﾌﾟｽ,イプス,2
滋賀,滋賀,1
ﾌﾞﾙｯﾍ,ブルッヘ,1
ｶﾗﾊﾞﾌ,カラバフ,1
ｱｲﾝﾄﾎｰ,アイントホー,1
ﾋﾞﾙﾊﾞｵ,ビルバオ,1
ﾊﾟﾌｫｽ,パフォス,1
ｽﾗｳﾞｨｱ,スラヴィア,1
ﾊﾞﾙｾﾛﾅ,バルセロナ,1
ｺﾍﾟﾝﾊｰ,コペンハー,1
ﾅﾎﾟﾘ,ナポリ,1
ﾕｳﾞｪﾝﾄ,ユヴェント,1
ｶｲﾗﾄ,カイラト,1
ｻﾝｼﾞﾛﾜ,サンジロワ,1
ｽﾍﾟｲﾝ,スペイン,1
ﾄﾙｺ,トルコ,1
ﾌﾞﾙｶﾞﾘ,ブルガリ,1
ｼﾞｮｼﾞｱ,ジョジア,1
ｱｲﾙﾗﾝ,アイルラン,1
ｱﾙﾒﾆｱ,アルメニア,1
ｱﾝﾄﾞﾗ,アンドラ,1
ﾓﾙﾄﾞﾊﾞ,モルドバ,1
ｶｻﾞﾌ,カザフ,1
ｷﾌﾟﾛｽ,キプロス,1
ｴｸｱﾄﾞﾙ,エクアドル,1
ｱﾙｾﾞﾝﾁ,アルゼンチ,1
ﾍﾟﾙｰ,ペルー,1
ﾊﾟﾗｸﾞｱ,パラグア,1
ﾎﾞﾘﾋﾞｱ,ボリビア,1
ﾌﾞﾗｼﾞﾙ,ブラジル,1
ﾁﾘ,チリ,1
ｳﾙｸﾞｱｲ,ウルグアイ,1
ﾍﾞﾈｽﾞｴ,ベネズエ,1
ｺﾛﾝﾋﾞｱ,コロンビア,1
ｷﾙｷﾞｽ,キルギス,1
ﾗﾄﾋﾞｱ,ラトビア,1
ｲﾗﾝ,イラン,1
ｵﾏｰﾝ,オマーン,1
ﾊﾟﾚｽﾁﾅ,パレスチナ,1
ｲｽﾗｴﾙ,イスラエル,1
ﾘﾋﾃﾝｼｭ,リヒテンシュ,1
ﾚｽﾀｰ,レスター,1
