window,alpha,train_round_start,train_round_end,test_round_start,test_round_end,train_rows,test_rows,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,draw_support,predicted_draws
1,0.0,1506,1548,1549,1558,416,101,0.38613861386138615,0.31204834536539466,0.3574769592249894,1.1167945533234218,0.3333333333333333,0.05,0.08695652173913043,20,3
1,0.1,1506,1548,1549,1558,416,101,0.38613861386138615,0.31204834536539466,0.3574769592249894,1.1216239790495686,0.3333333333333333,0.05,0.08695652173913043,20,3
1,0.2,1506,1548,1549,1558,416,101,0.38613861386138615,0.31292815798433776,0.35994144358256047,1.1281654045115086,0.2,0.05,0.08,20,5
1,0.3,1506,1548,1549,1558,416,101,0.39603960396039606,0.3388067870826492,0.37857874457396484,1.1362402338820805,0.25,0.1,0.14285714285714285,20,8
1,0.4,1506,1548,1549,1558,416,101,0.3465346534653465,0.3011204481792717,0.33706353828660174,1.1457416191838101,0.14285714285714285,0.1,0.11764705882352941,20,14
1,0.5,1506,1548,1549,1558,416,101,0.33663366336633666,0.3047961075069509,0.3348603859459162,1.1566107671329608,0.15789473684210525,0.15,0.15384615384615385,20,19
1,0.6,1506,1548,1549,1558,416,101,0.33663366336633666,0.30653272495339023,0.3387912164781388,1.1688247841665511,0.13043478260869565,0.15,0.13953488372093023,20,23
2,0.0,1506,1558,1559,1568,517,88,0.4659090909090909,0.39871574360738443,0.45935359789848945,1.0254112560892497,0.3333333333333333,0.15384615384615385,0.21052631578947367,13,6
2,0.1,1506,1558,1559,1568,517,88,0.4772727272727273,0.43062689864678266,0.474705317466295,1.0390167456686366,0.42857142857142855,0.23076923076923078,0.3,13,7
2,0.2,1506,1558,1559,1568,517,88,0.4659090909090909,0.4178932178932178,0.4639905548996458,1.0541692032999412,0.3333333333333333,0.23076923076923078,0.2727272727272727,13,9
2,0.3,1506,1558,1559,1568,517,88,0.3977272727272727,0.3692838326984669,0.4112914063024927,1.0708463625489997,0.19230769230769232,0.38461538461538464,0.2564102564102564,13,26
2,0.4,1506,1558,1559,1568,517,88,0.3977272727272727,0.3692838326984669,0.4112914063024927,1.0890567900618944,0.19230769230769232,0.38461538461538464,0.2564102564102564,13,26
2,0.5,1506,1558,1559,1568,517,88,0.38636363636363635,0.3683489506274316,0.3992012015602349,1.1088376363403785,0.20689655172413793,0.46153846153846156,0.2857142857142857,13,29
2,0.6,1506,1558,1559,1568,517,88,0.3409090909090909,0.32987421383647797,0.35725771869639794,1.1299864006165032,0.17142857142857143,0.46153846153846156,0.25,13,35
3,0.0,1506,1568,1570,1580,605,91,0.4065934065934066,0.3351005719426772,0.3546302357754063,1.1080726042668614,1.0,0.037037037037037035,0.07142857142857142,27,1
3,0.1,1506,1568,1570,1580,605,91,0.3956043956043956,0.32894660894660893,0.3470301127443985,1.0998205853266694,0.3333333333333333,0.037037037037037035,0.06666666666666667,27,3
3,0.2,1506,1568,1570,1580,605,91,0.38461538461538464,0.3216223354084135,0.338332431575216,1.0949811586216225,0.25,0.037037037037037035,0.06451612903225806,27,4
3,0.3,1506,1568,1570,1580,605,91,0.37362637362637363,0.31557739557739556,0.33138861138861136,1.0931035817268813,0.16666666666666666,0.037037037037037035,0.06060606060606061,27,6
3,0.4,1506,1568,1570,1580,605,91,0.34065934065934067,0.3343470964033046,0.34713359408998684,1.0938752131757763,0.2,0.25925925925925924,0.22580645161290322,27,35
3,0.5,1506,1568,1570,1580,605,91,0.3626373626373626,0.35745991908900215,0.36770654615088233,1.0970797204792593,0.24324324324324326,0.3333333333333333,0.28125,27,37
3,0.6,1506,1568,1570,1580,605,91,0.3956043956043956,0.39126670431018257,0.3982204131272454,1.1025720794471743,0.3023255813953488,0.48148148148148145,0.37142857142857144,27,43
4,0.0,1506,1580,1582,1593,696,114,0.5175438596491229,0.36764705882352944,0.44388544891640863,1.0984448472900743,0.0,0.0,0.0,24,0
4,0.1,1506,1580,1582,1593,696,114,0.5087719298245614,0.38940578492817296,0.45466957760751947,1.1035052992218337,0.25,0.041666666666666664,0.07142857142857142,24,4
4,0.2,1506,1580,1582,1593,696,114,0.5,0.3851059204961202,0.4494820618614677,1.1111488757432961,0.2,0.041666666666666664,0.06896551724137931,24,5
4,0.3,1506,1580,1582,1593,696,114,0.4824561403508772,0.37315276962223526,0.43742466854158296,1.121145686906801,0.125,0.041666666666666664,0.0625,24,8
4,0.4,1506,1580,1582,1593,696,114,0.32456140350877194,0.32937313582474875,0.3493278085807797,1.133346722139027,0.14814814814814814,0.3333333333333333,0.20512820512820512,24,54
4,0.5,1506,1580,1582,1593,696,114,0.32456140350877194,0.3360616563009384,0.34825198589694567,1.147663050677854,0.16666666666666666,0.4166666666666667,0.23809523809523808,24,60
4,0.6,1506,1580,1582,1593,696,114,0.3157894736842105,0.326561525438831,0.3396432138887716,1.1640536195104403,0.16129032258064516,0.4166666666666667,0.23255813953488372,24,62
5,0.0,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0576702459857414,0.0,0.0,0.0,17,0
5,0.1,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0623732850311915,0.0,0.0,0.0,17,0
5,0.2,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0700176612264336,0.0,0.0,0.0,17,0
5,0.3,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0803308263953126,0.0,0.0,0.0,17,0
