strategy,description,rows,accuracy,macro_f1,weighted_f1,log_loss,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1,predicted_away,predicted_draw,predicted_home,accuracy_rank,macro_f1_rank,log_loss_rank,composite_rank_score
fixed_rf60_lgbm40,"Fixed blend: RF 60%, LGBM 40%",4502,0.37716570413149714,0.35270688534381894,0.36885921582222586,1.102121947675714,0.35782512858192506,0.3288318703578663,0.342716396903589,0.27759914255091106,0.21709974853310982,0.2436500470366886,0.4311594202898551,0.5207877461706784,0.4717542120911794,1361,933,2208,2,7,2,11
rf_100,RandomForest v6 only,4502,0.3811639271434918,0.34263833904697166,0.3627459932228399,1.09215222290001,0.35634743875278396,0.3241053342336259,0.33946251768033947,0.27794117647058825,0.1584241408214585,0.201815269620929,0.42303030303030303,0.5727571115973742,0.48663722983964675,1347,680,2475,1,10,1,12
fixed_rf40_lgbm60,"Fixed blend: RF 40%, LGBM 60%",4502,0.37538871612616614,0.35602172599131476,0.3704285897254421,1.1117103310800274,0.36034732272069464,0.3362592842673869,0.34788683199441145,0.2789115646258503,0.24056999161777032,0.2583258325832583,0.4328072692491631,0.4950765864332604,0.46185251339627453,1382,1029,2091,3,2,9,14
fixed_rf45_lgbm55,"Fixed blend: RF 45%, LGBM 55%",4502,0.3736117281208352,0.3534522961034394,0.36798570145910814,1.1089970574441872,0.3555718475073314,0.3274814314652262,0.3409490333919156,0.2798029556650246,0.23805532271584243,0.2572463768115942,0.43005181347150256,0.49945295404814005,0.4621614781068084,1364,1015,2123,5,3,6,14
fixed_rf55_lgbm45,"Fixed blend: RF 55%, LGBM 45%",4502,0.37383385162150157,0.35113593403674015,0.36661254279829397,1.1042100391798502,0.3561946902654867,0.3261309925725861,0.34050052872752906,0.2761116856256463,0.22380553227158423,0.24722222222222223,0.4281780633318036,0.5103938730853391,0.46568505116046915,1356,967,2179,4,9,3,16
fixed_rf50_lgbm50,"Fixed blend: RF 50%, LGBM 50%",4502,0.37294535761883607,0.3516448470932627,0.36664596208606376,1.1064995360902186,0.35724743777452417,0.32950708980418636,0.3428170003512469,0.27575757575757576,0.22883487007544007,0.25011452130096196,0.4277726001863933,0.5021881838074398,0.4620030196275793,1366,990,2146,6,8,4,18
dynamic_v6,Dynamic confidence blend with draw/home specialization,4502,0.37027987561083964,0.35322939131907033,0.3665219245065416,1.1102441199704167,0.35408852213053266,0.3187035786630655,0.3354655294953802,0.2791327913279133,0.25901089689857504,0.26869565217391306,0.4296799224054316,0.48468271334792123,0.45552699228791776,1333,1107,2062,7,4,8,19
class_balanced,"Class blend: Away RF50%, Draw RF25%, Home RF65%",4502,0.36983562860950686,0.35277737227854766,0.3660855235417762,1.1079648737147918,0.35479041916167664,0.3200540175557056,0.3365282215122471,0.27807971014492755,0.2573344509639564,0.2673051806704397,0.42870999030067897,0.48358862144420134,0.45449871465295627,1336,1104,2062,8,6,5,19
lgbm_100,LightGBM v6 only,4502,0.36939138160817414,0.35634394601421676,0.36778010022618235,1.1426935512535463,0.35582386363636365,0.33828494260634706,0.34683281412253375,0.2862129144851658,0.2749371332774518,0.2804617357845233,0.42813141683778233,0.4562363238512035,0.4417372881355932,1408,1146,1948,9,1,10,20
class_draw_focus,"Class blend: Away RF45%, Draw RF15%, Home RF70%",4502,0.36872501110617506,0.35285024977633084,0.36570172462041706,1.109966223333894,0.35399551904406273,0.3200540175557056,0.33617021276595743,0.2780229479258605,0.2640402347024308,0.2708512467755804,0.429064039408867,0.4764770240700219,0.45152928978745466,1339,1133,2030,10,5,7,22
