windowNo,roundNo,snapshotDate,league,homeTeam,awayTeam,prediction,actual,correct,confidence,probHome,probDraw,probAway,homeAttackRating,defenseRatingDiff,awayAttackRating,homeAwayDiff,homeRank,awayAwayGoalsAgainstPerMatch,rankDiff,homeHomeElo,homeHomeGoalsPerMatch,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff
1,1568,2024-09-14,J.League,大宮,V・ファーレン長崎,H,A,False,0.3544008226927734,0.3544008226927734,0.30235502275423887,0.34324415455298807,0.5555555555555555,1.44,0.5555555555555555,-25,34,0.5714285714285714,-9,1491,0.5,20,9,8,0.0,9.538,6,1,5,2,0,2,2,0,2,0,2,-2
2,1568,2024-09-14,J.League,モンテディオ山形,富山,H,H,True,0.42361908225246653,0.42361908225246653,0.3271627518140164,0.24921816593351764,0.4232804232804232,0.2682692307692309,0.3485838779956426,-20,21,0.7,12,1464,0.3846153846153846,25,12,10,0.0746965452847805,11.818593155210802,6,0,6,2,0,2,1,0,1,0,3,-3
3,1568,2024-09-14,J.League,山口,ジェフユナイテッド千葉,D,H,False,0.5909475076783758,0.17642316239295258,0.5909475076783758,0.23262932992867175,0.3950617283950617,-1.35,0.4938271604938271,-50,42,0.4,-15,1470,0.5555555555555556,84,15,12,0.0987654320987653,33.43975308641976,3,4,-1,0,1,-1,4,0,4,0,1,-1
4,1568,2024-09-14,J.League,ブラウブリッツ秋田,愛媛FC,D,H,False,0.37385643060988993,0.34702389441982223,0.37385643060988993,0.2791196749702884,0.3485838779956426,0.4275,0.202020202020202,-14,32,1.0,13,1468,0.3636363636363636,37,13,13,0.1465636759754406,16.314812735195087,4,0,4,1,0,1,1,0,1,0,4,-4
5,1568,2024-09-14,J.League,ベガルタ仙台,水戸ホーリーホック,H,D,False,0.4759088426248821,0.4759088426248821,0.1907484823265969,0.3333426750485213,0.5555555555555555,-1.3500000000000003,0.5761316872427983,-24,26,0.1666666666666666,4,1508,0.6666666666666666,14,4,2,0.0205761316872428,6.174115226337449,4,6,-2,1,2,-1,2,1,1,0,0,0
6,1568,2024-09-14,J.League,横浜F・マリノス,川崎フロンターレ,A,A,True,0.4132480862247558,0.2071700298845681,0.37958188389067676,0.4132480862247558,0.3851851851851852,-0.5538461538461537,0.5761316872427983,-17,15,0.4285714285714285,-9,1523,0.7272727272727273,67,9,16,0.1909465020576131,25.84895853118076,4,7,-3,1,2,-1,1,4,-3,0,0,0
7,1568,2024-09-14,J.League,アルビレックス新潟,清水エスパルス,H,A,False,0.44857953693063557,0.44857953693063557,0.2902559711304246,0.2611644919389397,0.3703703703703703,-0.0674999999999999,0.3831417624521073,27,19,0.8125,-3,1475,0.5333333333333333,15,3,3,0.0127713920817369,6.016054278416347,0,1,-1,0,0,0,0,1,-1,5,0,5
8,1568,2024-09-14,J.League,ガンバ大阪,浦和レッズ,H,H,True,0.494257148127493,0.494257148127493,0.15816823433803123,0.3475746175344759,0.4691358024691358,-0.5631016042780748,0.4938271604938271,32,7,0.6923076923076923,1,1516,0.6153846153846154,29,1,3,0.0246913580246913,10.517558592460553,6,7,-1,2,2,0,2,3,-1,0,0,0
9,1568,2024-09-14,J.League,ヴァンフォーレ甲府,サガン鳥栖,H,A,False,0.4717172806657764,0.4717172806657764,0.21747184496340433,0.3108108743708196,0.3988603988603988,0.0,0.4558404558404558,-21,31,0.5555555555555556,-3,1477,0.2857142857142857,6,3,1,0.056980056980057,2.861396011396011,1,3,-2,0,1,-1,0,0,0,2,1,1
10,1568,2024-09-14,J.League,ファジアーノ岡山,名古屋グランパス,H,A,False,0.4825251857327573,0.4825251857327573,0.2900693043155599,0.22740550995168335,0.3840877914951988,0.0675000000000003,0.3831417624521073,51,18,0.8666666666666667,-1,1501,0.6,20,1,1,0.0009460290430915,7.2636892058086175,6,0,6,2,0,2,0,0,0,1,5,-4
11,1568,2024-09-14,J.League,アビスパ福岡,セレッソ大阪,H,H,True,0.45000275363348496,0.45000275363348496,0.2646043730412605,0.28539287332525465,0.419753086419753,-0.4114285714285715,0.4558404558404558,0,14,0.6153846153846154,-3,1485,0.6428571428571429,38,3,3,0.0360873694207027,14.139503188169853,3,2,1,1,0,1,0,2,-2,1,0,1
12,1568,2024-09-14,J.League,鹿島アントラーズ,湘南ベルマーレ,D,H,False,0.43273714909687555,0.3303546123363271,0.43273714909687555,0.23690823856679677,0.5555555555555555,1.759090909090909,0.345679012345679,117,1,0.75,19,1569,0.875,170,19,34,0.2098765432098764,64.64379349046017,7,0,7,2,0,2,5,0,5,0,3,-3
13,1570,2024-09-20,J.League,ヴァンフォーレ甲府,ブラウブリッツ秋田,H,D,False,0.49208221398262847,0.49208221398262847,0.30241134389164304,0.2055064421257281,0.3703703703703703,0.3374999999999999,0.3703703703703703,-32,32,0.6666666666666666,-4,1469,0.25,19,4,2,0.0,7.717499999999999,0,4,-4,0,1,-1,0,2,-2,3,0,3
14,1570,2024-09-20,J.League,愛媛FC,ジェフユナイテッド千葉,A,A,True,0.6024794338182496,0.2125672809947972,0.1849532851869537,0.6024794338182496,0.1851851851851851,-1.034415584415585,0.4558404558404558,-51,45,0.4545454545454545,-15,1458,0.1428571428571428,90,15,15,0.2706552706552707,35.511014171014175,0,1,-1,0,0,0,0,0,0,5,2,3
15,1570,2024-09-20,J.League,いわきFC,水戸ホーリーホック,A,D,False,0.4843167773219123,0.2348808014874314,0.28080242119065696,0.4843167773219123,0.4320987654320987,-1.755,0.5925925925925926,-46,36,0.2857142857142857,-7,1486,0.5,68,7,9,0.1604938271604938,25.933098765432096,2,4,-2,0,1,-1,0,2,-2,1,0,1
