created_at,rows,features,mean_accuracy,overall_accuracy,memo
2026-07-08T14:45:12,841,21,0.4062,0.3985,experiment
2026-07-08T14:50:05,841,21,0.4062,0.3985,experiment
2026-07-08T15:02:16,841,21,0.4062,0.3985,0.270833,Draw Engine v1
2026-07-08T15:27:51,841,33,0.3834,0.3807,0.208333,Momentum Pack v1
2026-07-08T18:49:32,841,28,0.4225,0.4239,0.156250,Ablation remove top5
2026-07-08T18:55:09,841,29,0.4047,0.4086,0.197917,Ablation remove 4 keep homeHomeWinRate
2026-07-08T19:38:31,841,26,0.4293,0.4315,0.197917,RF v2.0 RFE 26 features
2026-07-08T20:22:54,841,26,0.4293,0.4315,0.166667,RF v2.0 RFE 26 features fixed error analysis
2026-07-08T21:21:24,841,26,0.4293,0.4315,0.166667,Framework v1
2026-07-09T23:42:10,841,26,0.4293,0.4315,0.166667,Match Context Pack v1
2026-07-09T23:45:36,841,29,0.4096,0.4061,0.114583,Match Context Pack v1
2026-07-10T14:55:53,841,26,0.4293,0.4315,0.166667,Feature Registry v1
