removed_feature,feature_count,accuracy,delta,judgement
__BASELINE__,21,0.39847715736040606,0.0,baseline
homeAttackRating,20,0.3934010152284264,-0.005076142131979655,important_keep
defenseRatingDiff,20,0.4010152284263959,0.0025380710659898553,neutral
awayAttackRating,20,0.39847715736040606,0.0,neutral
homeAwayDiff,20,0.4086294416243655,0.010152284263959421,candidate_remove
homeAwayGoalsPerMatchDiff,20,0.4086294416243655,0.010152284263959421,candidate_remove
homeRank,20,0.4035532994923858,0.005076142131979711,candidate_remove
awayAwayGoalsAgainstPerMatch,20,0.40609137055837563,0.007614213197969566,candidate_remove
awayPoints,20,0.4137055837563452,0.015228426395939132,candidate_remove
awayAwayGoalsPerMatch,20,0.4137055837563452,0.015228426395939132,candidate_remove
pointsDiff,20,0.41624365482233505,0.017766497461928987,candidate_remove
rankDiff,20,0.40609137055837563,0.007614213197969566,candidate_remove
homeHomeWinRate,20,0.41878172588832485,0.020304568527918787,candidate_remove
homeHomeElo,20,0.4086294416243655,0.010152284263959421,candidate_remove
homeHomeGoalsAgainstPerMatch,20,0.4137055837563452,0.015228426395939132,candidate_remove
homeHomeGoalsPerMatch,20,0.4137055837563452,0.015228426395939132,candidate_remove
absEloDiff,20,0.4086294416243655,0.010152284263959421,candidate_remove
absRankDiff,20,0.39593908629441626,-0.0025380710659898,neutral
absPointsDiff,20,0.39086294416243655,-0.0076142131979695105,important_keep
absAttackDiff,20,0.40609137055837563,0.007614213197969566,candidate_remove
absDefenseDiff,20,0.38578680203045684,-0.012690355329949221,important_keep
balanceScore,20,0.4035532994923858,0.005076142131979711,candidate_remove
