feature,selected
home_team_core_score,True
home_team_momentum,True
home_team_stability,True
home_core_player_count,True
home_available_player_count,True
away_team_core_score,True
away_team_momentum,True
away_team_stability,True
away_core_player_count,True
away_available_player_count,True
home_core_GK,True
home_momentum_GK,True
home_available_count_GK,True
home_core_DF,True
home_momentum_DF,True
home_starter_count_DF,True
home_available_count_DF,True
home_core_MF,True
home_momentum_MF,True
home_starter_count_MF,True
home_available_count_MF,True
home_core_FW,True
home_momentum_FW,True
home_starter_count_FW,True
home_available_count_FW,True
away_core_GK,True
away_momentum_GK,True
away_available_count_GK,True
away_core_DF,True
away_momentum_DF,True
away_starter_count_DF,True
away_available_count_DF,True
away_core_MF,True
away_momentum_MF,True
away_starter_count_MF,True
away_available_count_MF,True
away_core_FW,True
away_momentum_FW,True
away_starter_count_FW,True
away_available_count_FW,True
team_core_scoreDiff,True
team_core_scoreRatio,True
team_momentumDiff,True
team_momentumRatio,True
team_stabilityDiff,True
team_stabilityRatio,True
core_player_countDiff,True
core_player_countRatio,True
available_player_countDiff,True
available_player_countRatio,True
core_GKDiff,True
core_GKRatio,True
momentum_GKDiff,True
momentum_GKRatio,True
available_count_GKDiff,True
available_count_GKRatio,True
core_DFDiff,True
core_DFRatio,True
momentum_DFDiff,True
momentum_DFRatio,True
starter_count_DFDiff,True
starter_count_DFRatio,True
available_count_DFDiff,True
available_count_DFRatio,True
core_MFDiff,True
core_MFRatio,True
momentum_MFDiff,True
momentum_MFRatio,True
starter_count_MFDiff,True
starter_count_MFRatio,True
available_count_MFDiff,True
available_count_MFRatio,True
core_FWDiff,True
core_FWRatio,True
momentum_FWDiff,True
momentum_FWRatio,True
starter_count_FWDiff,True
starter_count_FWRatio,True
available_count_FWDiff,True
available_count_FWRatio,True
