feature,random_forest_importance,random_forest_rank,lightgbm_importance,lightgbm_rank,mean_importance,geometric_mean_importance,mean_rank,rank_gap,relative_disagreement,consensus_score,family,side,position,present_in_random_forest,present_in_lightgbm,consensus_rank,recommendation
available_count_FWDiff,0.006477952852102923,53,0.004131285872237115,64,0.00530461936217002,0.005173226758891488,58.5,11,0.362254408675422,0.005245492690694681,Availability,Difference,FW,True,True,61,Candidate for removal; validate with backtest ablation.
home_available_count_MF,0.006052377029867822,57,0.004409175705987116,63,0.005230776367927469,0.005165848794106121,60.0,6,0.2714968541734406,0.005201558959707863,Availability,Home,MF,True,True,62,Candidate for removal; validate with backtest ablation.
starter_count_DFRatio,0.00556736436639622,64,0.004416434256278317,62,0.004991899311337268,0.00495861862870452,63.0,2,0.20672800168509636,0.004976923004152532,Starter availability,Ratio,DF,True,True,63,Candidate for removal; validate with backtest ablation.
home_available_count_DF,0.005059226950416618,65,0.004877392825682518,59,0.0049683098880495685,0.004967477954803791,62.0,6,0.0359410887307844,0.004967935518088969,Availability,Home,DF,True,True,64,Candidate for removal; validate with backtest ablation.
starter_count_FWDiff,0.005813177110883721,61,0.0038496571058938144,66,0.004831417108388768,0.004730617145017423,63.5,5,0.3377705456993055,0.004786057124871663,Starter availability,Difference,FW,True,True,65,Candidate for removal; validate with backtest ablation.
away_available_count_DF,0.004725249545663217,67,0.0036164364340795134,67,0.004170842989871365,0.004133831711264275,67.0,0,0.2346570484518347,0.004154187914498174,Availability,Away,DF,True,True,66,Candidate for removal; validate with backtest ablation.
home_available_count_FW,0.0047812621297388174,66,0.0033174866737174123,68,0.004049374401728115,0.003982684195232941,67.0,2,0.3061483383052595,0.004019363808805286,Availability,Home,FW,True,True,67,Candidate for removal; validate with backtest ablation.
away_starter_count_FW,0.004529631298049716,69,0.0031913713955452117,69,0.0038605013467974637,0.003802069930572318,69.0,0,0.29544565869648315,0.003834207209496148,Starter availability,Away,FW,True,True,68,Candidate for removal; validate with backtest ablation.
home_starter_count_FW,0.004603681383326417,68,0.0028741512078385104,70,0.0037389162955824636,0.0036375371349845055,69.0,2,0.37568416045296,0.0036932956733133826,Starter availability,Home,FW,True,True,69,Candidate for removal; validate with backtest ablation.
away_starter_count_DF,0.0032724259433569115,74,0.004083759489704515,65,0.0036780927165307132,0.0036556532248750067,69.5,9,0.19867319522441035,0.0036679949452856457,Starter availability,Away,DF,True,True,70,Candidate for removal; validate with backtest ablation.
starter_count_DFDiff,0.0040494264204739144,71,0.002523687833020309,72,0.003286557126747112,0.0031967934228005726,71.5,1,0.37677893830579695,0.0032461634599711695,Starter availability,Difference,DF,True,True,71,Candidate for removal; validate with backtest ablation.
available_player_countDiff,0.0037787429863872135,72,0.0025654450506360097,71,0.003172094018511612,0.003113544201075779,71.5,1,0.3210850645630217,0.0031457466006654874,Availability,Difference,Team-level,True,True,72,Candidate for removal; validate with backtest ablation.
available_player_countRatio,0.004411726969279816,70,0.0018166787683697068,76,0.003114202868824761,0.0028310229099981995,73.0,6,0.5882159569212264,0.0029867718873528085,Availability,Ratio,Team-level,True,True,73,Candidate for removal; validate with backtest ablation.
away_available_player_count,0.0033406741389921117,73,0.002379485673903309,73,0.00286007990644771,0.002819412395324778,73.0,0,0.2877229041497581,0.0028417795264423906,Availability,Away,Team-level,True,True,74,Candidate for removal; validate with backtest ablation.
home_available_player_count,0.002990983668178511,75,0.0020425770766691075,75,0.0025167803724238094,0.002471702789032918,75.0,0,0.3170885222810249,0.0024964954598979084,Availability,Home,Team-level,True,True,75,Candidate for removal; validate with backtest ablation.
home_starter_count_DF,0.0026939599188871097,76,0.0022352611203175082,74,0.002464610519602309,0.002453916026758468,75.0,2,0.17026934786731815,0.0024597979978225803,Starter availability,Home,DF,True,True,76,Candidate for removal; validate with backtest ablation.
available_count_GKDiff,0.0013140088336100048,77,0.0006558300749995024,77,0.0009849194543047537,0.0009283138003371803,77.0,0,0.500893709216759,0.0009594469100193458,Availability,Difference,GK,True,True,77,Candidate for removal; validate with backtest ablation.
available_count_GKRatio,0.0009473062652077033,78,0.00047972214844400175,78,0.0007135142068258525,0.0006741244668307943,78.0,0,0.4935933962826484,0.0006957888238280764,Availability,Ratio,GK,True,True,78,Candidate for removal; validate with backtest ablation.
away_available_count_GK,0.0007839073953708029,79,0.00033401230035410125,79,0.000558959847862452,0.0005116978721788803,79.0,0,0.5739135740694127,0.0005376919588048447,Availability,Away,GK,True,True,79,Candidate for removal; validate with backtest ablation.
home_available_count_GK,0.0006071091003952021,80,0.00012732883932780047,80,0.0003672189698615013,0.0002780332661727121,80.0,0,0.7902702508578527,0.00032708540320154617,Availability,Home,GK,True,True,80,Candidate for removal; validate with backtest ablation.
