feature,enabled,status,memo
homeAttackRating,TRUE,core,RF v2.0
defenseRatingDiff,TRUE,core,RF v2.0
awayAttackRating,TRUE,core,RF v2.0
homeAwayDiff,TRUE,core,RF v2.0
homeRank,TRUE,core,RF v2.0
awayAwayGoalsAgainstPerMatch,TRUE,core,RF v2.0
rankDiff,TRUE,core,RF v2.0
homeHomeElo,TRUE,core,RF v2.0
homeHomeGoalsPerMatch,TRUE,core,RF v2.0
absEloDiff,TRUE,core,RF v2.0
absRankDiff,TRUE,core,RF v2.0
absPointsDiff,TRUE,core,RF v2.0
absAttackDiff,TRUE,core,RF v2.0
balanceScore,TRUE,core,RF v2.0
homeLast3Points,TRUE,core,RF v2.0
awayLast3Points,TRUE,core,RF v2.0
last3PointsDiff,TRUE,core,RF v2.0
homeLast3Wins,TRUE,core,RF v2.0
awayLast3Wins,TRUE,core,RF v2.0
last3WinsDiff,TRUE,core,RF v2.0
homeUnbeatenStreak,TRUE,core,RF v2.0
awayUnbeatenStreak,TRUE,core,RF v2.0
unbeatenStreakDiff,TRUE,core,RF v2.0
homeLosingStreak,TRUE,core,RF v2.0
awayLosingStreak,TRUE,core,RF v2.0
losingStreakDiff,TRUE,core,RF v2.0
combinedGoalsPerMatch,FALSE,failed,Match Context Pack v1
expectedGoalGap,FALSE,failed,Match Context Pack v1
attackDefenseRatio,FALSE,failed,Match Context Pack v1
