round_no,status,round_date,fixture_count,source_url
1200,outside_target_year,2020-10-24,13,
1201,outside_target_year,2020-10-27,13,
1202,outside_target_year,2020-10-31,13,
1203,outside_target_year,2020-11-08,13,
1204,outside_target_year,2020-11-11,13,
1205,outside_target_year,2020-11-11,0,
1206,outside_target_year,2020-11-14,13,
1207,outside_target_year,2020-11-21,13,
1208,outside_target_year,2020-11-25,13,
1209,outside_target_year,2020-11-25,5,
1210,outside_target_year,2020-11-28,13,
1211,outside_target_year,2020-12-05,13,
1212,outside_target_year,2020-12-12,13,
1213,outside_target_year,2020-12-16,13,
1214,outside_target_year,2020-12-19,5,
1215,outside_target_year,2020-12-26,13,
1216,outside_target_year,2021-01-02,5,
1217,outside_target_year,2021-01-09,12,
1218,outside_target_year,2021-01-16,5,
1219,outside_target_year,2021-01-19,5,
1220,outside_target_year,2021-01-23,5,
1221,outside_target_year,2021-01-30,4,
1222,outside_target_year,2021-02-06,5,
1223,outside_target_year,2021-02-13,5,
1224,outside_target_year,2021-02-20,13,
1225,outside_target_year,2021-02-23,5,
1226,outside_target_year,2021-02-27,12,
1227,outside_target_year,2021-03-03,5,
1228,outside_target_year,2021-03-06,13,
1229,outside_target_year,2021-03-10,5,
1230,outside_target_year,2021-03-13,13,
1231,outside_target_year,2021-03-20,13,
1232,outside_target_year,2021-03-27,13,
1233,outside_target_year,2021-04-03,13,
1234,outside_target_year,2021-04-10,13,
1235,outside_target_year,2021-04-17,13,
1236,outside_target_year,2021-04-21,13,
1237,outside_target_year,2021-04-24,13,
1238,outside_target_year,2021-05-01,13,
1239,outside_target_year,2021-05-05,13,
1240,outside_target_year,2021-05-08,13,
1241,outside_target_year,2021-05-15,13,
1242,outside_target_year,2021-05-22,13,
1243,outside_target_year,2021-05-30,13,
1244,outside_target_year,2021-06-05,13,
1245,outside_target_year,2021-06-13,13,
1246,outside_target_year,2021-06-19,13,
1247,outside_target_year,2021-06-26,13,
1248,outside_target_year,2021-07-03,13,
1249,outside_target_year,2021-07-10,13,
1250,no_full_date,,0,https://store.toto-dream.com/dcs/subos/screen/pi04/spin011/PGSPIN01101LnkHoldCntLotResultLsttoto.form?popupDispDiv=disp&holdCntId=1250
1251,outside_target_year,2021-07-24,12,
