round_no,match_no,home_team,away_team,kickoff_at,venue,toto_result,product_type,competition
1276,1,レヴァー,ウニオン,2022-01-08,レヴァーク,0,mini_toto,Other
1276,2,フライブル,ビーレフェ,2022-01-08,フライブル,0,mini_toto,Other
1276,3,フュルト,シュツット,2022-01-08,フュルト,0,mini_toto,Other
1276,4,フランクフル,ドルト,2022-01-09,フランクフ,2,mini_toto,Other
1276,5,ボーフム,ヴォルフス,2022-01-10,ボーフム,1,mini_toto,Other
1277,1,ヴォルフス,ヘルタ,2022-01-15,ヴォルフス,0,mini_toto,Other
1277,2,シュツット,ライプツィ,2022-01-15,シュツット,2,mini_toto,Other
1277,3,ケルン,バイエルン,2022-01-15,ケルン,2,mini_toto,Other
1277,4,メンヘン,レヴァー,2022-01-16,メンヘング,2,mini_toto,Other
1277,5,ビーレフェ,フュルト,2022-01-17,ビーレフェ,0,mini_toto,Other
1278,1,レヴァー,アウグス,2022-01-22,レヴァーク,1,mini_toto,Other
1278,2,フライブル,シュツット,2022-01-22,フライブル,1,mini_toto,Other
1278,3,ホッフェン,ドルト,2022-01-22,ジンスハイ,2,mini_toto,Other
1278,4,フュルト,マインツ,2022-01-22,フュルト,1,mini_toto,Other
1278,5,ライプツィ,ヴォルフス,2022-01-23,ライプツィ,1,mini_toto,Other
1279,1,エクアドル,ブラジル,2022-01-28,キト,0,mini_toto,Other
1279,2,アルゼンチ,コロンビア,2022-02-02,コルドバ,1,mini_toto,Other
1279,3,ブラジル,パラグア,2022-02-02,ベロオリゾ,1,mini_toto,Other
1279,4,チリ,アルゼンチ,2022-01-28,カラマ,2,mini_toto,Other
1279,5,コロンビア,ペルー,2022-01-29,バランキー,2,mini_toto,Other
1279,6,レバノン,イラク,2022-02-01,サイダ,0,mini_toto,Other
1279,7,エクアドル,ブラジル,2022-01-28,キト,0,mini_toto,Other
1279,8,アルゼンチ,コロンビア,2022-02-02,コルドバ,1,mini_toto,Other
1279,9,ブラジル,パラグア,2022-02-02,ベロオリゾ,1,mini_toto,Other
1279,10,チリ,アルゼンチ,2022-01-28,カラマ,2,mini_toto,Other
1279,11,コロンビア,ペルー,2022-01-29,バランキー,2,mini_toto,Other
1279,12,ウルグアイ,ベネズエ,2022-02-02,モンテビデ,1,mini_toto,Other
1279,13,ボリビア,チリ,2022-02-02,ラパス,2,mini_toto,Other
1280,1,マインツ,ホッフェン,2022-02-05,マインツ,1,mini_toto,Other
1280,2,ビーレフェ,メンヘン,2022-02-05,ビーレフェ,0,mini_toto,Other
1280,3,ケルン,フライブル,2022-02-05,ケルン,1,mini_toto,Other
1280,4,バイエルン,ライプツィ,2022-02-06,ミュンヘン,1,mini_toto,Other
1280,5,ヴォルフス,フュルト,2022-02-07,ヴォルフス,1,mini_toto,Other
1281,1,ニュカッスル,エヴァトン,2022-02-09,ニューカッ,1,mini_toto,Other
1281,2,マンC,ブレント,2022-02-10,マンチェス,1,mini_toto,Other
1281,3,ノーウィッチ,クリスタル,2022-02-10,ノーウィッ,0,mini_toto,Other
1281,4,トテナム,サウザン,2022-02-10,ロンドン,2,mini_toto,Other
1281,5,アストン,リーズ,2022-02-10,バーミンガ,0,mini_toto,Other
1282,1,メンヘン,アウグス,2022-02-12,メンヘング,1,mini_toto,Other
1282,2,フライブル,マインツ,2022-02-12,フライブル,0,mini_toto,Other
1282,3,フュルト,ヘルタ,2022-02-12,フュルト,1,mini_toto,Other
1282,4,レヴァー,シュツット,2022-02-13,レヴァーク,1,mini_toto,Other
1282,5,ホッフェン,ビーレフェ,2022-02-14,ジンスハイ,1,mini_toto,Other
1283,1,清水,札幌,2022-02-19,アイスタ,0,mini_toto,J.League
1283,2,G大阪,鹿島,2022-02-19,パナスタ,2,mini_toto,J.League
1283,3,湘南,柏,2022-02-19,レモンS,2,mini_toto,J.League
1283,4,徳島,金沢,2022-02-19,鳴門大塚,0,mini_toto,J.League
1283,5,長崎,東京V,2022-02-19,トラスタ,0,mini_toto,J.League
1283,6,清水,札幌,2022-02-19,アイスタ,0,mini_toto,J.League
1283,7,G大阪,鹿島,2022-02-19,パナスタ,2,mini_toto,J.League
1283,8,湘南,柏,2022-02-19,レモンS,2,mini_toto,J.League
1283,9,徳島,金沢,2022-02-19,鳴門大塚,0,mini_toto,J.League
1283,10,長崎,東京V,2022-02-19,トラスタ,0,mini_toto,J.League
1283,11,群馬,山形,2022-02-19,正田スタ,1,mini_toto,J.League
1283,13,千葉,岩手,2022-02-19,フクアリ,2,mini_toto,J.League
1284,1,横浜M,川崎,2022-02-23,日産ス,1,mini_toto,J.League
1284,2,徳島,広島,2022-02-23,鳴門大塚,2,mini_toto,J.League
1284,3,京都,柏,2022-02-23,サンガS,0,mini_toto,J.League
1284,4,名古屋,清水,2022-02-23,豊田ス,0,mini_toto,J.League
1284,5,湘南,福岡,2022-02-23,レモンS,1,mini_toto,J.League
1285,1,C大阪,京都,2022-02-26,ヨドコウ,0,mini_toto,J.League
1285,2,札幌,広島,2022-02-26,札幌ド,0,mini_toto,J.League
1285,3,浦和,G大阪,2022-02-26,埼玉,2,mini_toto,J.League
1285,4,柏,横浜M,2022-02-27,三協F柏,1,mini_toto,J.League
1285,5,山口,秋田,2022-02-27,みらスタ,1,mini_toto,J.League
1285,6,C大阪,京都,2022-02-26,ヨドコウ,0,mini_toto,J.League
1285,7,札幌,広島,2022-02-26,札幌ド,0,mini_toto,J.League
1285,8,浦和,G大阪,2022-02-26,埼玉,2,mini_toto,J.League
1285,9,柏,横浜M,2022-02-27,三協F柏,1,mini_toto,J.League
1285,10,山口,秋田,2022-02-27,みらスタ,1,mini_toto,J.League
1285,11,琉球,千葉,2022-02-26,タピスタ,2,mini_toto,J.League
1285,12,熊本,山形,2022-02-27,えがおS,2,mini_toto,J.League
1285,13,町田,岩手,2022-02-27,Gスタ,1,mini_toto,J.League
