match_card_id,team,match_date,core_GK,momentum_GK,starter_count_GK,available_count_GK,core_DF,momentum_DF,starter_count_DF,available_count_DF,core_MF,momentum_MF,starter_count_MF,available_count_MF,core_FW,momentum_FW,starter_count_FW,available_count_FW
24973,FC東京,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0
24973,柏レイソル,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0
24974,川崎フロンターレ,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0
24974,横浜F・マリノス,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0
24975,北海道コンサドーレ札幌,,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,6,0,0.0,0.0,1,0
24975,横浜FC,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0
24976,FC東京,,0.5,0.5,1,1,0.8,0.8,4,4,0.45,0.4,3,2,0.394167,0.365278,3,2
24976,浦和レッズ,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,5,0,0.0,0.0,1,0
24977,サンフレッチェ広島,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0
24977,ベガルタ仙台,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,5,0,0.0,0.0,1,0
24978,大分トリニータ,,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0
24978,徳島ヴォルティス,,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0
24979,清水エスパルス,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0
24979,鹿島アントラーズ,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0
24980,サガン鳥栖,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0
24980,湘南ベルマーレ,,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0
24981,セレッソ大阪,,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0
24981,柏レイソル,,0.5,0.5,1,1,0.333333,0.333333,4,2,0.634,0.573333,3,3,0.45,0.4,3,2
