match_card_id,detail_url,season,competition,section,match_date,kickoff,home_team,score,away_team,stadium,attendance
31361,https://data.j-league.or.jp/SFMS02/?match_card_id=31361,2025,Ｊ１,第１節第１日,25/02/14(金),19:03,Ｇ大阪,2-5,Ｃ大阪,パナスタ,"34,860"
31362,https://data.j-league.or.jp/SFMS02/?match_card_id=31362,2025,Ｊ１,第１節第２日,25/02/15(土),14:03,横浜FM,1-1,新潟,日産ス,"32,713"
31363,https://data.j-league.or.jp/SFMS02/?match_card_id=31363,2025,Ｊ１,第１節第２日,25/02/15(土),14:03,横浜FC,0-1,FC東京,ニッパツ,"12,195"
31364,https://data.j-league.or.jp/SFMS02/?match_card_id=31364,2025,Ｊ１,第１節第２日,25/02/15(土),14:03,神戸,0-0,浦和,ノエスタ,"22,266"
31365,https://data.j-league.or.jp/SFMS02/?match_card_id=31365,2025,Ｊ１,第１節第２日,25/02/15(土),14:04,岡山,2-0,京都,ＪＦＥス,"14,575"
31366,https://data.j-league.or.jp/SFMS02/?match_card_id=31366,2025,Ｊ１,第１節第２日,25/02/15(土),14:04,福岡,0-1,柏,ベススタ,"9,923"
31367,https://data.j-league.or.jp/SFMS02/?match_card_id=31367,2025,Ｊ１,第１節第２日,25/02/15(土),15:03,川崎Ｆ,4-0,名古屋,Ｕ等々力,"23,005"
31368,https://data.j-league.or.jp/SFMS02/?match_card_id=31368,2025,Ｊ１,第１節第２日,25/02/15(土),15:03,湘南,1-0,鹿島,レモンＳ,"13,025"
31369,https://data.j-league.or.jp/SFMS02/?match_card_id=31369,2025,Ｊ１,第１節第３日,25/02/16(日),14:03,東京Ｖ,0-1,清水,国立,"52,541"
31370,https://data.j-league.or.jp/SFMS02/?match_card_id=31370,2025,Ｊ１,第１節第３日,25/02/16(日),14:03,町田,1-2,広島,Ｇスタ,"12,773"
31371,https://data.j-league.or.jp/SFMS02/?match_card_id=31371,2025,Ｊ１,第２節第１日,25/02/22(土),14:03,柏,1-1,川崎Ｆ,三協Ｆ柏,"13,695"
31372,https://data.j-league.or.jp/SFMS02/?match_card_id=31372,2025,Ｊ１,第２節第１日,25/02/22(土),14:03,横浜FC,1-0,岡山,ニッパツ,"7,274"
31373,https://data.j-league.or.jp/SFMS02/?match_card_id=31373,2025,Ｊ１,第２節第１日,25/02/22(土),14:03,清水,2-0,新潟,アイスタ,"18,141"
