match_card_id,match_date,kickoff_time,stadium,attendance,weather,temperature_c,humidity_pct,home_team,away_team,home_score,away_score,home_first_half_score,away_first_half_score,home_second_half_score,away_second_half_score,home_coach,away_coach,regulation_minutes,source_html
24973,2021/01/04,14:41,国立競技場,24219,晴,11.4,36.0,柏レイソル,FC東京,1,2,1,1,0,1,ネルシーニョ,長谷川 健太,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24973.html
24974,2021/02/26,18:04,等々力陸上競技場,4868,曇,10.8,27.0,川崎フロンターレ,横浜F・マリノス,2,0,2,0,0,0,鬼木 達,アンジェ ポステコグルー,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24974.html
24975,2021/02/27,14:00,札幌ドーム,11897,屋内,20.9,32.0,北海道コンサドーレ札幌,横浜FC,5,1,4,1,1,0,ペトロヴィッチ,下平 隆宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24975.html
24976,2021/02/27,14:00,埼玉スタジアム2002,4943,晴,8.1,20.0,浦和レッズ,FC東京,1,1,0,0,1,1,リカルド ロドリゲス,長谷川 健太,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24976.html
24977,2021/02/27,14:03,エディオンスタジアム広島,8820,晴,14.0,51.0,サンフレッチェ広島,ベガルタ仙台,1,1,1,0,0,1,城福 浩,手倉森 誠,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24977.html
24978,2021/02/27,14:03,昭和電工ドーム大分,7012,曇,10.5,38.0,大分トリニータ,徳島ヴォルティス,1,1,0,1,1,0,片野坂 知宏,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24978.html
24979,2021/02/27,15:03,県立カシマサッカースタジアム,9312,晴,7.4,26.0,鹿島アントラーズ,清水エスパルス,1,3,0,0,1,3,ザーゴ,ロティーナ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24979.html
24980,2021/02/27,15:03,レモンガススタジアム平塚,4721,晴,9.3,20.0,湘南ベルマーレ,サガン鳥栖,0,1,0,0,0,1,浮嶋 敏,金 明輝,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24980.html
24981,2021/02/27,16:03,ヤンマースタジアム長居,4481,晴,9.1,32.0,セレッソ大阪,柏レイソル,2,0,1,0,1,0,レヴィー クルピ,ネルシーニョ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24981.html
24982,2021/02/27,17:03,ノエビアスタジアム神戸,4636,晴,7.9,33.0,ヴィッセル神戸,ガンバ大阪,1,0,0,0,1,0,三浦 淳寛,宮本 恒靖,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24982.html
24983,2021/02/28,13:05,ベスト電器スタジアム,4991,晴,20.5,42.0,アビスパ福岡,名古屋グランパス,1,2,0,1,1,1,長谷部 茂利,マッシモ フィッカデンティ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24983.html
24984,2021/03/06,14:04,ユアテックスタジアム仙台,9005,晴,9.5,40.0,ベガルタ仙台,川崎フロンターレ,1,5,0,4,1,1,手倉森 誠,鬼木 達,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24984.html
24985,2021/03/06,14:03,味の素スタジアム,4768,晴,20.7,32.0,FC東京,セレッソ大阪,3,2,0,1,3,1,長谷川 健太,レヴィー クルピ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24985.html
24986,2021/03/06,14:03,IAIスタジアム日本平,9063,晴,19.8,53.0,清水エスパルス,アビスパ福岡,2,2,1,0,1,2,ロティーナ,長谷部 茂利,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24986.html
24987,2021/03/06,14:03,鳴門・大塚スポーツパーク ポカリスエットスタジアム,7454,晴,14.0,47.0,徳島ヴォルティス,ヴィッセル神戸,1,1,0,0,1,1,,三浦 淳寛,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24987.html
24988,2021/03/06,15:03,ニッパツ三ツ沢球技場,4422,晴,19.4,48.0,横浜FC,大分トリニータ,1,2,1,2,0,0,下平 隆宏,片野坂 知宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24988.html
24989,2021/07/24,19:03,パナソニック スタジアム 吹田,4961,晴,29.6,70.0,ガンバ大阪,鹿島アントラーズ,0,1,0,0,0,1,松波 正信,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24989.html
24990,2021/03/06,15:03,駅前不動産スタジアム,7452,曇,16.4,42.0,サガン鳥栖,浦和レッズ,2,0,0,0,2,0,金 明輝,リカルド ロドリゲス,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24990.html
24991,2021/03/06,16:03,三協フロンテア柏スタジアム,3898,曇,18.4,49.0,柏レイソル,湘南ベルマーレ,2,1,1,1,1,0,ネルシーニョ,浮嶋 敏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24991.html
24992,2021/03/06,16:03,豊田スタジアム,9846,曇,16.5,32.0,名古屋グランパス,北海道コンサドーレ札幌,1,0,0,0,1,0,マッシモ フィッカデンティ,ペトロヴィッチ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24992.html
24993,2021/03/07,13:03,日産スタジアム,4906,曇,9.4,37.0,横浜F・マリノス,サンフレッチェ広島,3,3,1,3,2,0,アンジェ ポステコグルー,城福 浩,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24993.html
24994,2021/03/10,18:03,ベスト電器スタジアム,4607,晴,14.7,55.0,アビスパ福岡,横浜F・マリノス,1,3,0,1,1,2,長谷部 茂利,アンジェ ポステコグルー,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24994.html
24995,2021/03/10,19:03,県立カシマサッカースタジアム,4546,晴,10.9,20.0,鹿島アントラーズ,湘南ベルマーレ,3,1,1,0,2,1,ザーゴ,浮嶋 敏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24995.html
24996,2021/03/10,18:01,三協フロンテア柏スタジアム,2877,晴,12.5,20.0,柏レイソル,名古屋グランパス,0,1,0,0,0,1,ネルシーニョ,マッシモ フィッカデンティ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24996.html
24997,2021/03/10,18:03,味の素スタジアム,4707,晴,10.1,21.0,FC東京,ヴィッセル神戸,2,3,0,1,2,2,長谷川 健太,三浦 淳寛,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24997.html
24998,2021/03/10,19:03,等々力陸上競技場,4853,晴,11.1,20.0,川崎フロンターレ,徳島ヴォルティス,2,0,2,0,0,0,鬼木 達,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24998.html
24999,2021/07/27,19:03,パナソニック スタジアム 吹田,4205,曇,29.2,64.0,ガンバ大阪,大分トリニータ,2,1,0,0,2,1,松波 正信,片野坂 知宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_24999.html
25000,2021/03/10,19:03,ヤンマースタジアム長居,6063,晴,9.2,39.0,セレッソ大阪,清水エスパルス,2,1,1,1,1,0,レヴィー クルピ,ロティーナ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25000.html
25001,2021/03/10,19:03,エディオンスタジアム広島,3821,晴,12.2,50.0,サンフレッチェ広島,北海道コンサドーレ札幌,2,1,2,1,0,0,城福 浩,ペトロヴィッチ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25001.html
