player_key,player_name,team,position,matches_observed,minutes_last5,starter_rate_last5,minutes_ewma,absence_streak,momentum_score
FC東京::ジョアン オマリ,ジョアン オマリ,FC東京,DF,1,90.0,1.0,1.0,0,1.0
FC東京::レアンドロ,レアンドロ,FC東京,FW,1,90.0,1.0,1.0,0,1.0
FC東京::中村 帆高,中村 帆高,FC東京,DF,1,90.0,1.0,1.0,0,1.0
FC東京::安部 柊斗,安部 柊斗,FC東京,MF,1,90.0,1.0,1.0,0,1.0
FC東京::小川 諒也,小川 諒也,FC東京,DF,1,90.0,1.0,1.0,0,1.0
FC東京::森重 真人,森重 真人,FC東京,MF,1,90.0,1.0,1.0,0,1.0
FC東京::永井 謙佑,永井 謙佑,FC東京,FW,1,90.0,1.0,1.0,0,1.0
FC東京::波多野 豪,波多野 豪,FC東京,GK,1,90.0,1.0,1.0,0,1.0
FC東京::渡辺 剛,渡辺 剛,FC東京,DF,1,90.0,1.0,1.0,0,1.0
FC東京::原 大智,原 大智,FC東京,FW,1,67.0,1.0,0.744444,0,0.808333
FC東京::東 慶悟,東 慶悟,FC東京,MF,1,67.0,1.0,0.744444,0,0.808333
FC東京::アダイウトン,アダイウトン,FC東京,FW,1,23.0,0.0,0.255556,0,0.191667
FC東京::三田 啓貴,三田 啓貴,FC東京,MF,1,23.0,0.0,0.255556,0,0.191667
FC東京::丹羽 大輝,丹羽 大輝,FC東京,DF,1,0.0,0.0,0.0,1,0.0
FC東京::児玉 剛,児玉 剛,FC東京,GK,1,0.0,0.0,0.0,1,0.0
FC東京::内田 宅哉,内田 宅哉,FC東京,MF,1,0.0,0.0,0.0,1,0.0
FC東京::品田 愛斗,品田 愛斗,FC東京,MF,1,0.0,0.0,0.0,1,0.0
FC東京::紺野 和也,紺野 和也,FC東京,FW,1,0.0,0.0,0.0,1,0.0
柏レイソル::オルンガ,オルンガ,柏レイソル,FW,1,90.0,1.0,1.0,0,1.0
柏レイソル::キム スンギュ,キム スンギュ,柏レイソル,GK,1,90.0,1.0,1.0,0,1.0
柏レイソル::クリスティアーノ,クリスティアーノ,柏レイソル,MF,1,90.0,1.0,1.0,0,1.0
柏レイソル::古賀 太陽,古賀 太陽,柏レイソル,DF,1,90.0,1.0,1.0,0,1.0
柏レイソル::大南 拓磨,大南 拓磨,柏レイソル,DF,1,90.0,1.0,1.0,0,1.0
柏レイソル::山下 達也,山下 達也,柏レイソル,DF,1,90.0,1.0,1.0,0,1.0
柏レイソル::川口 尚紀,川口 尚紀,柏レイソル,DF,1,90.0,1.0,1.0,0,1.0
柏レイソル::ヒシャルジソン,ヒシャルジソン,柏レイソル,MF,1,86.0,1.0,0.955556,0,0.966667
柏レイソル::大谷 秀和,大谷 秀和,柏レイソル,MF,1,78.0,1.0,0.866667,0,0.9
柏レイソル::江坂 任,江坂 任,柏レイソル,FW,1,78.0,1.0,0.866667,0,0.9
柏レイソル::瀬川 祐輔,瀬川 祐輔,柏レイソル,MF,1,78.0,1.0,0.866667,0,0.9
柏レイソル::三原 雅俊,三原 雅俊,柏レイソル,MF,1,12.0,0.0,0.133333,0,0.1
柏レイソル::呉屋 大翔,呉屋 大翔,柏レイソル,FW,1,12.0,0.0,0.133333,0,0.1
柏レイソル::神谷 優太,神谷 優太,柏レイソル,MF,1,12.0,0.0,0.133333,0,0.1
柏レイソル::仲間 隼斗,仲間 隼斗,柏レイソル,MF,1,4.0,0.0,0.044444,0,0.033333
柏レイソル::三丸 拡,三丸 拡,柏レイソル,DF,1,0.0,0.0,0.0,1,0.0
柏レイソル::染谷 悠太,染谷 悠太,柏レイソル,DF,1,0.0,0.0,0.0,1,0.0
柏レイソル::滝本 晴彦,滝本 晴彦,柏レイソル,GK,1,0.0,0.0,0.0,1,0.0
