team,player_out,player_in,minute,match_card_id
FC東京,原 大智,三田 啓貴,67,24973
FC東京,東 慶悟,アダイウトン,67,24973
FC東京,永井 謙佑,内田 宅哉,90,24973
柏レイソル,ヒシャルジソン,仲間 隼斗,86,24973
柏レイソル,大谷 秀和,三原 雅俊,78,24973
柏レイソル,江坂 任,呉屋 大翔,78,24973
柏レイソル,瀬川 祐輔,神谷 優太,78,24973
川崎フロンターレ,ジョアン シミッチ,橘田 健人,64,24974
川崎フロンターレ,レアンドロ ダミアン,小林 悠,76,24974
川崎フロンターレ,三笘 薫,長谷川 竜也,88,24974
川崎フロンターレ,家長 昭博,知念 慶,88,24974
川崎フロンターレ,脇坂 泰斗,車屋 紳太郎,76,24974
横浜F・マリノス,ティーラトン,高野 遼,73,24974
横浜F・マリノス,和田 拓也,渡辺 皓太,88,24974
横浜F・マリノス,岩田 智輝,松原 健,73,24974
横浜F・マリノス,扇原 貴宏,水沼 宏太,46,24974
横浜F・マリノス,樺山 諒乃介,前田 大然,46,24974
北海道コンサドーレ札幌,アンデルソン ロペス,小野 伸二,86,24975
北海道コンサドーレ札幌,チャナティップ,ドウグラス オリヴェイラ,82,24975
北海道コンサドーレ札幌,ルーカス フェルナンデス,菅 大輝,70,24975
北海道コンサドーレ札幌,小柏 剛,深井 一希,82,24975
北海道コンサドーレ札幌,駒井 善成,高嶺 朋樹,82,24975
横浜FC,中村 俊輔,瀬古 樹,46,24975
横浜FC,前嶋 洋太,手塚 康平,83,24975
横浜FC,渡邉 千真,伊藤 翔,59,24975
横浜FC,高木 友也,伊野波 雅彦,46,24975
横浜FC,齋藤 功佑,松尾 佑介,59,24975
FC東京,アルトゥール シルバ,三田 啓貴,75,24976
FC東京,ディエゴ オリヴェイラ,アダイウトン,46,24976
FC東京,レアンドロ,田川 亨介,81,24976
FC東京,東 慶悟,青木 拓矢,75,24976
FC東京,渡邊 凌磨,永井 謙佑,61,24976
浦和レッズ,小泉 佳穂,田中 達也,75,24976
浦和レッズ,汰木 康也,武田 英寿,87,24976
浦和レッズ,阿部 勇樹,柴戸 海,87,24976
サンフレッチェ広島,ジュニオール サントス,柏 好文,76,24977
サンフレッチェ広島,東 俊希,今津 佑太,87,24977
サンフレッチェ広島,森島 司,鮎川 峻,90,24977
サンフレッチェ広島,浅野 雄也,エゼキエウ,90,24977
ベガルタ仙台,マルティノス,赤﨑 秀平,87,24977
ベガルタ仙台,吉野 恭平,平岡 康裕,87,24977
ベガルタ仙台,氣田 亮真,松下 佳貴,46,24977
ベガルタ仙台,皆川 佑介,石原 崇兆,62,24977
ベガルタ仙台,秋山 陽介,真瀬 拓海,79,24977
大分トリニータ,井上 健太,長沢 駿,90,24978
大分トリニータ,渡邉 新太,刀根 亮輔,90,24978
大分トリニータ,野村 直輝,町田 也真人,46,24978
大分トリニータ,高畑 奎汰,松本 怜,76,24978
大分トリニータ,髙澤 優也,伊佐 耕平,76,24978
徳島ヴォルティス,吹ヶ 徳喜,川上 エドオジョン 智慧,56,24978
徳島ヴォルティス,垣田 裕暉,河田 篤秀,81,24978
徳島ヴォルティス,石井 秀典,安部 崇士,77,24978
徳島ヴォルティス,藤原 志龍,渡井 理己,81,24978
清水エスパルス,カルリーニョス ジュニオ,金子 翔太,90,24979
清水エスパルス,ディサロ 燦シルヴァーノ,後藤 優介,63,24979
清水エスパルス,中村 慶太,河井 陽介,74,24979
鹿島アントラーズ,ファン アラーノ,荒木 遼太郎,63,24979
鹿島アントラーズ,土居 聖真,遠藤 康,87,24979
