accuracy,n_estimators,max_depth,min_samples_leaf,max_features
0.43147208121827413,500,7,4,
0.43147208121827413,500,8,4,sqrt
0.43147208121827413,700,7,4,sqrt
0.4289340101522843,900,8,3,sqrt
0.4263959390862944,700,9,6,log2
0.4263959390862944,900,8,5,log2
0.4263959390862944,900,9,4,
0.42385786802030456,700,6,3,sqrt
0.42385786802030456,700,8,4,sqrt
0.42385786802030456,900,8,3,
0.42385786802030456,900,8,4,sqrt
0.42385786802030456,900,9,4,sqrt
0.42385786802030456,900,9,5,
0.4213197969543147,500,7,3,
0.4213197969543147,500,9,4,log2
0.4213197969543147,500,9,6,sqrt
0.4213197969543147,700,7,4,
0.4213197969543147,700,8,4,
0.4213197969543147,700,9,3,sqrt
0.4213197969543147,700,9,6,sqrt
0.4213197969543147,900,6,4,
0.4213197969543147,900,7,3,
0.4213197969543147,900,7,6,
0.4213197969543147,900,9,3,sqrt
0.4213197969543147,900,9,6,log2
0.41878172588832485,500,7,6,
0.41878172588832485,500,8,3,sqrt
0.41878172588832485,500,8,6,
0.41878172588832485,500,9,4,sqrt
0.41878172588832485,500,9,5,log2
0.41878172588832485,500,9,6,
0.41878172588832485,700,6,4,sqrt
0.41878172588832485,700,6,4,
0.41878172588832485,700,7,3,
0.41878172588832485,700,8,3,sqrt
0.41878172588832485,700,8,4,log2
0.41878172588832485,900,7,4,
0.41878172588832485,900,7,5,
0.41878172588832485,900,8,4,log2
0.41878172588832485,900,8,5,
0.41878172588832485,900,8,6,sqrt
0.41878172588832485,900,9,3,
0.41878172588832485,900,9,5,log2
0.41624365482233505,500,6,3,sqrt
0.41624365482233505,500,6,4,
0.41624365482233505,500,6,5,
0.41624365482233505,500,7,3,log2
0.41624365482233505,500,7,4,sqrt
0.41624365482233505,500,7,5,
0.41624365482233505,500,7,6,sqrt
0.41624365482233505,500,8,5,log2
0.41624365482233505,500,8,5,
0.41624365482233505,700,6,3,log2
0.41624365482233505,700,7,5,sqrt
0.41624365482233505,700,8,6,log2
0.41624365482233505,700,9,4,log2
0.41624365482233505,700,9,5,sqrt
0.41624365482233505,700,9,5,log2
0.41624365482233505,900,6,3,sqrt
0.41624365482233505,900,6,3,
0.41624365482233505,900,7,3,sqrt
0.41624365482233505,900,7,4,sqrt
0.41624365482233505,900,7,6,sqrt
0.41624365482233505,900,7,6,log2
0.41624365482233505,900,8,4,
0.41624365482233505,900,9,6,
0.4137055837563452,500,6,3,log2
0.4137055837563452,500,6,4,sqrt
0.4137055837563452,500,6,6,
0.4137055837563452,500,7,3,sqrt
0.4137055837563452,500,8,3,
0.4137055837563452,700,6,6,sqrt
0.4137055837563452,700,7,3,sqrt
0.4137055837563452,700,7,5,
0.4137055837563452,700,7,6,sqrt
0.4137055837563452,700,7,6,log2
0.4137055837563452,700,7,6,
0.4137055837563452,700,8,3,
0.4137055837563452,700,8,5,log2
0.4137055837563452,700,8,6,sqrt
0.4137055837563452,700,8,6,
0.4137055837563452,700,9,3,
0.4137055837563452,700,9,4,sqrt
0.4137055837563452,700,9,4,
0.4137055837563452,900,6,4,sqrt
0.4137055837563452,900,7,3,log2
0.4137055837563452,900,7,5,sqrt
0.4137055837563452,900,8,6,
0.4137055837563452,900,9,5,sqrt
0.41116751269035534,500,6,3,
0.41116751269035534,500,7,4,log2
0.41116751269035534,500,7,5,sqrt
0.41116751269035534,500,7,6,log2
0.41116751269035534,500,8,4,
0.41116751269035534,500,8,6,log2
0.41116751269035534,500,9,3,
0.41116751269035534,500,9,5,sqrt
0.41116751269035534,500,9,5,
0.41116751269035534,700,6,6,
0.41116751269035534,700,7,3,log2
0.41116751269035534,900,6,3,log2
0.41116751269035534,900,6,5,
0.41116751269035534,900,6,6,
0.41116751269035534,900,8,6,log2
0.4086294416243655,500,6,5,sqrt
0.4086294416243655,500,6,6,sqrt
0.4086294416243655,500,8,6,sqrt
0.4086294416243655,500,9,3,sqrt
0.4086294416243655,500,9,3,log2
0.4086294416243655,500,9,6,log2
0.4086294416243655,700,6,3,
0.4086294416243655,700,7,5,log2
0.4086294416243655,700,8,5,
0.4086294416243655,900,6,6,sqrt
0.4086294416243655,900,8,3,log2
0.4086294416243655,900,9,3,log2
0.4086294416243655,900,9,4,log2
0.4086294416243655,900,9,6,sqrt
0.40609137055837563,500,8,4,log2
0.40609137055837563,700,6,5,sqrt
0.40609137055837563,700,6,5,
0.40609137055837563,700,7,4,log2
0.40609137055837563,700,9,3,log2
0.40609137055837563,700,9,5,
0.40609137055837563,700,9,6,
0.40609137055837563,900,7,4,log2
0.40609137055837563,900,8,5,sqrt
0.4035532994923858,500,8,3,log2
0.4035532994923858,500,9,4,
0.4035532994923858,700,6,5,log2
0.4035532994923858,700,8,5,sqrt
0.4010152284263959,500,8,5,sqrt
0.4010152284263959,700,8,3,log2
0.4010152284263959,900,6,5,sqrt
0.39847715736040606,500,7,5,log2
0.39847715736040606,900,6,4,log2
0.39593908629441626,700,6,4,log2
0.39593908629441626,700,6,6,log2
0.39593908629441626,900,6,5,log2
0.39593908629441626,900,7,5,log2
0.3934010152284264,500,6,4,log2
0.3934010152284264,500,6,5,log2
0.39086294416243655,500,6,6,log2
0.3883248730964467,900,6,6,log2
