feature,importance
home_core_DF,0.020173833788092007
away_momentum_FW,0.019518596652350735
home_core_FW,0.019438720891529263
home_team_core_score,0.019318163442717175
home_team_momentum,0.01917852444381684
away_momentum_MF,0.019058491381080324
home_momentum_FW,0.01903422277590132
away_core_FW,0.01864999402020241
away_core_DF,0.018633939357072832
home_momentum_DF,0.018604882529018832
away_core_MF,0.01852894923408756
away_momentum_DF,0.01824015160111101
away_team_momentum,0.018198260167130616
home_core_MF,0.018095850294756372
away_team_core_score,0.018033848090588323
home_momentum_MF,0.018006453270688495
momentum_FWDiff,0.01759168772633753
momentum_DFRatio,0.017556558198330564
momentum_DFDiff,0.017487891187855063
team_momentumRatio,0.017350147064789802
momentum_FWRatio,0.017306738354866676
core_FWDiff,0.017291954962448203
core_DFDiff,0.017131130299250667
core_MFRatio,0.017095279725049938
core_DFRatio,0.017066968074318466
core_MFDiff,0.01702976265019838
momentum_MFDiff,0.016921888372524996
team_core_scoreRatio,0.01688082743781541
team_core_scoreDiff,0.01684774162198509
team_momentumDiff,0.016805421434914293
momentum_MFRatio,0.016778711243453634
core_FWRatio,0.01673863088335649
team_stabilityRatio,0.015336907043875707
h2h_days_since_last_match,0.015283582347322409
core_player_countRatio,0.01202850519269525
available_count_MFRatio,0.011435531350883517
team_stabilityDiff,0.010687530890327476
h2h_weighted_goal_difference,0.010058345317422659
starter_count_MFRatio,0.009694418674407169
momentum_GKDiff,0.009204447403788733
home_team_stability,0.009015335498403668
momentum_GKRatio,0.008929624439851763
available_count_DFRatio,0.008685894228710462
available_count_FWRatio,0.008342827519594009
core_GKDiff,0.008296327936583567
away_team_stability,0.008259366585628924
core_GKRatio,0.008109301979551453
h2h_average_home_goals,0.007528911234044423
h2h_average_away_goals,0.007454864082522991
core_player_countDiff,0.007234382163663374
starter_count_FWRatio,0.007217545554549538
available_count_MFDiff,0.0071142627979979105
home_core_player_count,0.0063621499019983
h2h_average_goal_difference,0.006217766361093785
h2h_last5_goal_difference,0.0061304047320057285
h2h_weighted_away_win_rate,0.006095344909599992
away_core_player_count,0.006002566220562484
starter_count_MFDiff,0.0058545561223247175
away_available_count_MF,0.005801052697196021
h2h_weighted_draw_rate,0.005718157901670087
available_count_FWDiff,0.005656707986512419
h2h_weighted_home_win_rate,0.005646417415322989
h2h_btts_rate,0.005610418130994814
home_starter_count_MF,0.005382990693695101
h2h_over_2_5_rate,0.0053784064741003125
home_available_count_MF,0.00537503445875387
available_count_DFDiff,0.005370281907283035
home_momentum_GK,0.005310371905184606
h2h_last3_goal_difference,0.005308502148317803
away_momentum_GK,0.005197405995199691
h2h_home_points_per_game,0.005172445568612214
starter_count_FWDiff,0.005135180886393113
h2h_away_points_per_game,0.004977168585380336
away_available_count_FW,0.004944692341910281
home_core_GK,0.004739027461434209
away_starter_count_MF,0.004683333308702707
away_core_GK,0.004638136986416236
starter_count_DFRatio,0.004474120067114936
home_available_count_DF,0.004406453106793401
home_available_count_FW,0.00430068854175478
home_starter_count_FW,0.00419615324169424
away_available_count_DF,0.004159916061327882
h2h_same_venue_goal_difference,0.004108354727978784
away_starter_count_FW,0.003983308227837786
h2h_confidence,0.003858697445889368
h2h_matches,0.003858066061509825
available_player_countRatio,0.003597102990599156
starter_count_DFDiff,0.003459466698520909
h2h_home_unbeaten_streak,0.0034458817318745584
h2h_draw_rate,0.0031819602016261326
h2h_away_win_rate,0.00315487043492311
h2h_home_win_rate,0.003116043394680627
h2h_last5_draw_rate,0.0030728375079385984
h2h_last5_away_win_rate,0.003067951488687776
h2h_away_unbeaten_streak,0.0030648341744607573
available_player_countDiff,0.0030367424700420125
h2h_last5_home_win_rate,0.002886417824297729
h2h_last3_draw_rate,0.0026372950173134575
away_starter_count_DF,0.002555418680076284
away_available_player_count,0.0025283676378894835
home_available_player_count,0.002392254483341343
h2h_last3_away_win_rate,0.0023005976557340475
home_starter_count_DF,0.0022192500196422404
h2h_last3_home_win_rate,0.002173392971946616
h2h_same_venue_matches,0.001915374587431789
h2h_same_venue_home_win_rate,0.0016907123778415775
h2h_same_venue_away_win_rate,0.0016094630814901985
h2h_same_venue_draw_rate,0.0013719499420729506
available_count_GKDiff,0.0010802051555165626
available_count_GKRatio,0.0006935483976179892
away_available_count_GK,0.0006541143032221097
home_available_count_GK,0.000527534769181833
