fixture_team,fixture_key,best_prediction_team,best_score
いわき,いわき,いわきFC,0.75
今治,今治,FC今治,0.6667
八戸,八戸,水戸,0.5
南ｱﾌﾘｶ,南アフリカ,湘南,0.2857
宮崎,宮崎,大宮,0.5
山口,山口,富山,0.5
日本,日本,熊本,0.5
栃木Ｃ,栃木c,栃木SC,0.8571
滋賀,滋賀,AC長野パルセイロ,0.0
琉球,琉球,FC琉球,0.6667
相模原,相模原,SC相模原,0.75
福島,福島,広島,0.5
藤枝,藤枝,藤枝MYFC,0.5
長崎,長崎,V・ファーレン長崎,0.4
韓国,韓国,AC長野パルセイロ,0.0
高知,高知,高知ユナイテッドSC,0.3333
鳥取,鳥取,鳥栖,0.5
鹿児島,鹿児島,鹿島,0.8
ｱﾒﾘｶ,アメリカ,アスルクラロ沼津,0.1667
ｱﾙｼﾞｪﾘ,アルジェリ,アスルクラロ沼津,0.3077
ｱﾙｾﾞﾝﾁ,アルゼンチ,アスルクラロ沼津,0.3077
ｲﾝｸﾞﾗﾝ,イングラン,ヴァンラーレ八戸,0.3077
ｳｽﾞﾍﾞｷ,ウズベキ,AC長野パルセイロ,0.0
ｳﾙｸﾞｱｲ,ウルグアイ,AC長野パルセイロ,0.2857
ｴｸｱﾄﾞﾙ,エクアドル,奈良クラブ,0.2
ｴｼﾞﾌﾟﾄ,エジプト,ツエーゲン金沢,0.1818
ｵｰｽﾄﾗﾘ,オーストラリ,アスルクラロ沼津,0.2857
ｵｰｽﾄﾘｱ,オーストリア,ガイナーレ鳥取,0.1538
ｵﾗﾝﾀﾞ,オランダ,ギラヴァンツ北九州,0.3077
ｶｰﾎﾞﾍﾞ,カーボベ,カマタマーレ讃岐,0.3333
ｶﾀｰﾙ,カタール,カマタマーレ讃岐,0.5
ｶﾅﾀﾞ,カナダ,ガイナーレ鳥取,0.2
ｶﾞｰﾅ,ガーナ,ガイナーレ鳥取,0.4
ｷｭﾗｿｰ,キュラソー,ヴァンラーレ八戸,0.3077
ｸﾛｱﾁｱ,クロアチア,アスルクラロ沼津,0.3077
ｺｰﾄｼﾞﾎ,コートジホ,いわてグルージャ盛岡,0.2667
ｺﾛﾝﾋﾞｱ,コロンビア,ツエーゲン金沢,0.1667
ｺﾝｺﾞ,コンゴ,ツエーゲン金沢,0.2
ｻｳｼﾞ,サウジ,ザスパクサツ群馬,0.1818
ｽｲｽ,スイス,ガイナーレ鳥取,0.2
ｽｳｪﾃﾞﾝ,スウェデン,ツエーゲン金沢,0.1667
ｽｺｯﾄﾗﾝ,スコットラン,アスルクラロ沼津,0.2857
ｽﾍﾟｲﾝ,スペイン,ガイナーレ鳥取,0.1818
ｾﾈｶﾞﾙ,セネガル,ガイナーレ鳥取,0.1818
ﾁｪｺ,チェコ,AC長野パルセイロ,0.0
ﾁｭﾆｼﾞｱ,チュニジア,アスルクラロ沼津,0.1538
ﾄﾙｺ,トルコ,アスルクラロ沼津,0.1818
ﾄﾞｲﾂ,ドイツ,ガイナーレ鳥取,0.2
ﾆｭｰｼﾞｰ,ニュージー,いわてグルージャ盛岡,0.2667
ﾉﾙｳｪｰ,ノルウェー,いわてグルージャ盛岡,0.2667
