round_no,fixture_count,jleague_in_scope_count,out_of_scope_count,matched_count,coverage_rate,no_team_match_count,date_mismatch_count,inferred_round_date
1276,6,0,6,0,0.0,0,0,2022-01-01
1277,6,0,6,0,0.0,0,0,2022-01-08
1278,5,0,5,0,0.0,0,0,2022-01-22
1279,13,0,13,0,0.0,0,0,2022-01-28
1280,5,0,5,0,0.0,0,0,2022-02-05
1281,6,0,6,0,0.0,0,0,2022-02-05
1282,5,0,5,0,0.0,0,0,2022-02-12
1284,6,4,2,0,0.0,1,3,2022-02-16
1286,6,5,1,0,0.0,1,4,2022-02-23
1290,13,0,13,0,0.0,0,0,2022-03-25
1291,13,9,4,5,0.5555555555555556,2,2,2022-03-26
1295,6,4,2,0,0.0,0,4,2022-04-06
1297,13,11,2,7,0.6363636363636364,2,2,2022-04-23
1302,6,4,2,0,0.0,0,4,2022-05-11
1306,13,13,0,0,0.0,0,13,2022-06-01
1310,13,8,5,0,0.0,8,0,2022-06-22
1315,6,0,6,0,0.0,0,0,2022-07-06
1319,5,0,5,0,0.0,0,0,2022-07-27
1321,5,0,5,0,0.0,0,0,2022-08-03
1335,13,0,13,0,0.0,0,0,2022-11-12
1336,13,0,13,0,0.0,0,0,2022-11-22
1337,13,0,13,0,0.0,0,0,2022-11-25
1338,13,0,13,0,0.0,0,0,2022-11-30
1341,6,0,6,0,0.0,0,0,2022-12-16
1343,5,0,5,0,0.0,0,0,2022-12-29
1344,6,0,6,0,0.0,0,0,2023-01-01
1345,6,0,6,0,0.0,0,0,2023-01-04
1346,13,0,13,0,0.0,0,0,2023-01-21
1347,6,0,6,0,0.0,0,0,2023-01-21
1348,13,0,13,0,0.0,0,0,2023-02-04
1349,13,0,13,0,0.0,0,0,2023-02-11
1354,6,5,1,0,0.0,0,5,2023-03-01
1357,13,13,0,4,0.3076923076923077,0,9,2023-03-25
1359,6,5,1,0,0.0,0,5,2023-03-29
1362,6,5,1,0,0.0,0,5,2023-04-12
1369,6,5,1,0,0.0,0,5,2023-05-17
1372,13,13,0,0,0.0,5,8,2023-06-07
1374,13,13,0,3,0.23076923076923078,0,10,2023-06-18
1377,6,0,6,0,0.0,0,0,2023-06-21
1381,12,12,0,0,0.0,8,4,2023-07-12
