round_no,fixture_count,jleague_in_scope_count,out_of_scope_count,matched_count,coverage_rate,no_team_match_count,date_mismatch_count,inferred_round_date
1276,6,0,6,0,0.0,0,0,2022-01-01
1277,6,0,6,0,0.0,0,0,2022-01-08
1278,5,0,5,0,0.0,0,0,2022-01-22
1279,13,0,13,0,0.0,0,0,2022-01-28
1280,5,0,5,0,0.0,0,0,2022-02-05
1281,6,0,6,0,0.0,0,0,2022-02-05
1282,5,0,5,0,0.0,0,0,2022-02-12
1283,12,12,0,12,1.0,0,0,2022-02-19
1284,6,4,2,0,0.0,1,3,2022-02-16
1285,13,11,2,11,1.0,0,0,2022-02-26
1286,6,5,1,0,0.0,1,4,2022-02-23
1287,13,11,2,11,1.0,0,0,2022-03-05
1288,13,11,2,11,1.0,0,0,2022-03-12
1289,13,13,0,13,1.0,0,0,2022-03-19
1290,13,0,13,0,0.0,0,0,2022-03-25
1291,13,9,4,5,0.5555555555555556,2,2,2022-03-26
1292,12,10,2,10,1.0,0,0,2022-04-02
1293,6,2,4,2,1.0,0,0,2022-03-30
1294,13,9,4,9,1.0,0,0,2022-04-09
1295,6,4,2,0,0.0,0,4,2022-04-06
1296,13,12,1,12,1.0,0,0,2022-04-16
1297,13,11,2,7,0.6363636363636364,2,2,2022-04-23
1298,13,13,0,13,1.0,0,0,2022-04-29
1299,13,11,2,11,1.0,0,0,2022-05-03
1300,12,10,2,10,1.0,0,0,2022-05-07
1301,13,10,3,10,1.0,0,0,2022-05-14
1302,6,4,2,0,0.0,0,4,2022-05-11
1303,13,11,2,11,1.0,0,0,2022-05-21
1304,13,11,2,11,1.0,0,0,2022-05-25
1305,13,9,4,9,1.0,0,0,2022-05-28
1306,13,13,0,0,0.0,0,13,2022-06-01
1307,13,12,1,12,1.0,0,0,2022-06-04
1308,13,13,0,13,1.0,0,0,2022-06-11
1309,13,11,2,11,1.0,0,0,2022-06-18
1310,13,8,5,0,0.0,8,0,2022-06-22
1311,13,9,4,9,1.0,0,0,2022-06-25
1312,13,13,0,13,1.0,0,0,2022-07-02
1313,12,11,1,11,1.0,0,0,2022-07-06
1314,13,10,3,10,1.0,0,0,2022-07-09
1315,6,0,6,0,0.0,0,0,2022-07-06
1316,13,11,2,11,1.0,0,0,2022-07-16
