round_no,fixture_count,match_count,coverage_rate,inferred_round_date,rf_hits,rf_accuracy,lgbm_hits,lgbm_accuracy,ensemble_hits,ensemble_accuracy,models_agree_count,ticket_count,investment_yen,best_hits,best_hit_rate,exact_count,one_miss_count,two_miss_count,first_prize_equivalent_count,second_prize_equivalent_count,third_prize_equivalent_count,monetary_roi,monetary_roi_note
1592,5,5,1.0,2025-11-29,2,0.4,2,0.4,2,0.4,3,50,5000,4,0.8,0,1,8,0,0,0,,Historical payout data is not connected yet.
1591,13,13,1.0,2025-11-29,4,0.3076923076923077,4,0.3076923076923077,4,0.3076923076923077,13,50,5000,6,0.46153846153846156,0,0,0,0,0,0,,Historical payout data is not connected yet.
1589,13,13,1.0,2025-11-23,7,0.5384615384615384,2,0.15384615384615385,7,0.5384615384615384,5,50,5000,9,0.6923076923076923,0,0,0,0,0,0,,Historical payout data is not connected yet.
1587,5,5,1.0,2025-11-08,2,0.4,2,0.4,1,0.2,2,50,5000,4,0.8,0,1,7,0,0,0,,Historical payout data is not connected yet.
1585,13,13,1.0,2025-11-08,6,0.46153846153846156,8,0.6153846153846154,6,0.46153846153846156,7,50,5000,9,0.6923076923076923,0,0,0,0,0,0,,Historical payout data is not connected yet.
1583,13,13,1.0,2025-11-02,4,0.3076923076923077,5,0.38461538461538464,5,0.38461538461538464,6,50,5000,7,0.5384615384615384,0,0,0,0,0,0,,Historical payout data is not connected yet.
1582,13,13,1.0,2025-10-25,10,0.7692307692307693,8,0.6153846153846154,10,0.7692307692307693,11,50,5000,12,0.9230769230769231,0,1,7,0,1,7,,Historical payout data is not connected yet.
1580,13,13,1.0,2025-10-18,8,0.6153846153846154,9,0.6923076923076923,8,0.6153846153846154,10,50,5000,9,0.6923076923076923,0,0,0,0,0,0,,Historical payout data is not connected yet.
1577,5,5,1.0,2025-10-05,1,0.2,0,0.0,1,0.2,2,50,5000,3,0.6,0,0,2,0,0,0,,Historical payout data is not connected yet.
1574,13,13,1.0,2025-10-04,6,0.46153846153846156,6,0.46153846153846156,6,0.46153846153846156,13,50,5000,8,0.6153846153846154,0,0,0,0,0,0,,Historical payout data is not connected yet.
1572,13,13,1.0,2025-09-27,3,0.23076923076923078,4,0.3076923076923077,4,0.3076923076923077,9,50,5000,6,0.46153846153846156,0,0,0,0,0,0,,Historical payout data is not connected yet.
