round_no,match_no,home_team,away_team,reason,kickoff_at,date_distance_days,closest_prediction_date
1276,1,レヴァー,ウニオン,out_of_v6_jleague_scope,2022-01-08,,
1276,2,フライブル,ビーレフェ,out_of_v6_jleague_scope,2022-01-08,,
1276,3,フュルト,シュツット,out_of_v6_jleague_scope,2022-01-08,,
1276,4,フランクフル,ドルト,out_of_v6_jleague_scope,2022-01-09,,
1276,5,ボーフム,ヴォルフス,out_of_v6_jleague_scope,2022-01-10,,
1276,6,ヴォルフス,0,out_of_v6_jleague_scope,2022-01-01,,
1277,1,ヴォルフス,ヘルタ,out_of_v6_jleague_scope,2022-01-15,,
1277,2,シュツット,ライプツィ,out_of_v6_jleague_scope,2022-01-15,,
1277,3,ケルン,バイエルン,out_of_v6_jleague_scope,2022-01-15,,
1277,4,メンヘン,レヴァー,out_of_v6_jleague_scope,2022-01-16,,
1277,5,ビーレフェ,フュルト,out_of_v6_jleague_scope,2022-01-17,,
1277,6,フランクフル,1,out_of_v6_jleague_scope,2022-01-08,,
1278,1,レヴァー,アウグス,out_of_v6_jleague_scope,2022-01-22,,
1278,2,フライブル,シュツット,out_of_v6_jleague_scope,2022-01-22,,
1278,3,ホッフェン,ドルト,out_of_v6_jleague_scope,2022-01-22,,
1278,4,フュルト,マインツ,out_of_v6_jleague_scope,2022-01-22,,
1278,5,ライプツィ,ヴォルフス,out_of_v6_jleague_scope,2022-01-23,,
1279,1,エクアドル,ブラジル,out_of_v6_jleague_scope,2022-01-28,,
1279,2,アルゼンチ,コロンビア,out_of_v6_jleague_scope,2022-02-02,,
1279,3,ブラジル,パラグア,out_of_v6_jleague_scope,2022-02-02,,
1279,4,チリ,アルゼンチ,out_of_v6_jleague_scope,2022-01-28,,
1279,5,コロンビア,ペルー,out_of_v6_jleague_scope,2022-01-29,,
1279,6,レバノン,イラク,out_of_v6_jleague_scope,2022-02-01,,
1279,7,エクアドル,ブラジル,out_of_v6_jleague_scope,2022-01-28,,
1279,8,アルゼンチ,コロンビア,out_of_v6_jleague_scope,2022-02-02,,
1279,9,ブラジル,パラグア,out_of_v6_jleague_scope,2022-02-02,,
1279,10,チリ,アルゼンチ,out_of_v6_jleague_scope,2022-01-28,,
1279,11,コロンビア,ペルー,out_of_v6_jleague_scope,2022-01-29,,
1279,12,ウルグアイ,ベネズエ,out_of_v6_jleague_scope,2022-02-02,,
1279,13,ボリビア,チリ,out_of_v6_jleague_scope,2022-02-02,,
1280,1,マインツ,ホッフェン,out_of_v6_jleague_scope,2022-02-05,,
1280,2,ビーレフェ,メンヘン,out_of_v6_jleague_scope,2022-02-05,,
1280,3,ケルン,フライブル,out_of_v6_jleague_scope,2022-02-05,,
1280,4,バイエルン,ライプツィ,out_of_v6_jleague_scope,2022-02-06,,
1280,5,ヴォルフス,フュルト,out_of_v6_jleague_scope,2022-02-07,,
1281,1,ニュカッスル,エヴァトン,out_of_v6_jleague_scope,2022-02-09,,
1281,2,マンC,ブレント,out_of_v6_jleague_scope,2022-02-10,,
1281,3,ノーウィッチ,クリスタル,out_of_v6_jleague_scope,2022-02-10,,
1281,4,トテナム,サウザン,out_of_v6_jleague_scope,2022-02-10,,
1281,5,アストン,リーズ,out_of_v6_jleague_scope,2022-02-10,,
1281,6,マンU,1,out_of_v6_jleague_scope,2022-02-05,,
1282,1,メンヘン,アウグス,out_of_v6_jleague_scope,2022-02-12,,
1282,2,フライブル,マインツ,out_of_v6_jleague_scope,2022-02-12,,
1282,3,フュルト,ヘルタ,out_of_v6_jleague_scope,2022-02-12,,
1282,4,レヴァー,シュツット,out_of_v6_jleague_scope,2022-02-13,,
1282,5,ホッフェン,ビーレフェ,out_of_v6_jleague_scope,2022-02-14,,
1284,1,横浜M,川崎,out_of_v6_jleague_scope,2022-02-23,,
1284,2,徳島,広島,no_exact_pair_match,2022-02-23,,
1284,3,京都,柏,date_distance_gt_window,2022-02-23,164.0,2022-08-06
1284,4,名古屋,清水,date_distance_gt_window,2022-02-23,137.0,2022-07-10
1284,5,湘南,福岡,date_distance_gt_window,2022-02-23,143.0,2022-07-16
1284,6,札幌,2,out_of_v6_jleague_scope,2022-02-16,,
1285,4,柏,横浜M,out_of_v6_jleague_scope,2022-02-27,,
1285,9,柏,横浜M,out_of_v6_jleague_scope,2022-02-27,,
1286,1,鹿島,C大阪,date_distance_gt_window,2022-03-02,126.0,2022-07-06
1286,2,大分,G大阪,no_exact_pair_match,2022-03-02,,
1286,3,広島,名古屋,date_distance_gt_window,2022-03-02,87.0,2022-05-28
1286,4,柏,札幌,date_distance_gt_window,2022-03-02,136.0,2022-07-16
1286,5,磐田,湘南,date_distance_gt_window,2022-03-02,150.0,2022-07-30
1286,6,F東京,0,out_of_v6_jleague_scope,2022-02-23,,
1287,1,横浜M,清水,out_of_v6_jleague_scope,2022-03-06,,
1287,6,横浜M,清水,out_of_v6_jleague_scope,2022-03-06,,
1288,2,川崎,名古屋,out_of_v6_jleague_scope,2022-03-12,,
1288,7,川崎,名古屋,out_of_v6_jleague_scope,2022-03-12,,
1290,1,ウルグアイ,ペルー,out_of_v6_jleague_scope,2022-03-25,,
1290,2,コロンビア,ボリビア,out_of_v6_jleague_scope,2022-03-25,,
1290,3,ブラジル,チリ,out_of_v6_jleague_scope,2022-03-25,,
1290,4,パラグア,エクアドル,out_of_v6_jleague_scope,2022-03-25,,
1290,5,イタリア,北マケ,out_of_v6_jleague_scope,2022-03-25,,
1290,6,中国,サウジ,out_of_v6_jleague_scope,2022-03-25,,
1290,7,ウルグアイ,ペルー,out_of_v6_jleague_scope,2022-03-25,,
1290,8,コロンビア,ボリビア,out_of_v6_jleague_scope,2022-03-25,,
1290,9,ブラジル,チリ,out_of_v6_jleague_scope,2022-03-25,,
1290,10,パラグア,エクアドル,out_of_v6_jleague_scope,2022-03-25,,
1290,11,イタリア,北マケ,out_of_v6_jleague_scope,2022-03-25,,
1290,12,ポルトガ,トルコ,out_of_v6_jleague_scope,2022-03-25,,
1290,13,スウェデン,チェコ,out_of_v6_jleague_scope,2022-03-25,,
1291,1,名古屋,徳島,no_exact_pair_match,2022-03-26,,
1291,2,広島,清水,date_distance_gt_window,2022-03-26,161.0,2022-09-03
1291,3,F東京,湘南,out_of_v6_jleague_scope,2022-03-26,,
1291,5,甲府,横浜C,out_of_v6_jleague_scope,2022-03-26,,
1291,6,名古屋,徳島,no_exact_pair_match,2022-03-26,,
1291,7,広島,清水,date_distance_gt_window,2022-03-26,161.0,2022-09-03
1291,8,F東京,湘南,out_of_v6_jleague_scope,2022-03-26,,
1291,10,甲府,横浜C,out_of_v6_jleague_scope,2022-03-26,,
1292,3,横浜M,F東京,out_of_v6_jleague_scope,2022-04-02,,
1292,8,横浜M,F東京,out_of_v6_jleague_scope,2022-04-02,,
1293,2,磐田,川崎,out_of_v6_jleague_scope,2022-04-06,,
1293,3,広島,横浜M,out_of_v6_jleague_scope,2022-04-06,,
1293,4,F東京,神戸,out_of_v6_jleague_scope,2022-04-06,,
1293,6,横浜M,0,out_of_v6_jleague_scope,2022-03-30,,
1294,1,川崎,柏,out_of_v6_jleague_scope,2022-04-09,,
1294,2,鹿島,横浜M,out_of_v6_jleague_scope,2022-04-10,,
1294,6,川崎,柏,out_of_v6_jleague_scope,2022-04-09,,
1294,7,鹿島,横浜M,out_of_v6_jleague_scope,2022-04-10,,
1295,1,京都,札幌,date_distance_gt_window,2022-04-13,80.0,2022-07-02
1295,2,鳥栖,柏,date_distance_gt_window,2022-04-13,88.0,2022-07-10
1295,3,湘南,F東京,out_of_v6_jleague_scope,2022-04-13,,
1295,4,徳島,清水,date_distance_gt_window,2022-04-13,385.0,2023-05-03
1295,5,福岡,磐田,date_distance_gt_window,2022-04-13,53.0,2022-02-19
1295,6,F東京,1,out_of_v6_jleague_scope,2022-04-06,,
1296,13,横浜C,仙台,out_of_v6_jleague_scope,2022-04-17,,
1297,1,広島,徳島,no_exact_pair_match,2022-04-23,,
1297,2,鳥栖,京都,date_distance_gt_window,2022-04-23,161.0,2022-10-01
1297,3,磐田,F東京,out_of_v6_jleague_scope,2022-04-23,,
1297,6,広島,徳島,no_exact_pair_match,2022-04-23,,
1297,7,鳥栖,京都,date_distance_gt_window,2022-04-23,161.0,2022-10-01
1297,8,磐田,F東京,out_of_v6_jleague_scope,2022-04-23,,
1299,5,横浜C,熊本,out_of_v6_jleague_scope,2022-05-04,,
1299,10,横浜C,熊本,out_of_v6_jleague_scope,2022-05-04,,
1300,3,F東京,鳥栖,out_of_v6_jleague_scope,2022-05-08,,
1300,8,F東京,鳥栖,out_of_v6_jleague_scope,2022-05-08,,
1301,2,川崎,福岡,out_of_v6_jleague_scope,2022-05-14,,
1301,7,川崎,福岡,out_of_v6_jleague_scope,2022-05-14,,
1301,13,横浜C,徳島,out_of_v6_jleague_scope,2022-05-15,,
1302,1,G大阪,鹿島,date_distance_gt_window,2022-05-18,88.0,2022-02-19
1302,2,清水,広島,date_distance_gt_window,2022-05-18,19.0,2022-04-29
1302,3,札幌,鳥栖,date_distance_gt_window,2022-05-18,94.0,2022-08-20
1302,4,柏,京都,date_distance_gt_window,2022-05-18,31.0,2022-04-17
1302,5,F東京,福岡,out_of_v6_jleague_scope,2022-05-18,,
1302,6,名古屋,2,out_of_v6_jleague_scope,2022-05-11,,
1303,3,福岡,横浜M,out_of_v6_jleague_scope,2022-05-21,,
1303,8,福岡,横浜M,out_of_v6_jleague_scope,2022-05-21,,
1304,2,横浜M,京都,out_of_v6_jleague_scope,2022-05-25,,
1304,7,横浜M,京都,out_of_v6_jleague_scope,2022-05-25,,
1305,3,京都,川崎,out_of_v6_jleague_scope,2022-05-29,,
1305,4,F東京,鹿島,out_of_v6_jleague_scope,2022-05-29,,
1305,8,京都,川崎,out_of_v6_jleague_scope,2022-05-29,,
1305,9,F東京,鹿島,out_of_v6_jleague_scope,2022-05-29,,
1306,1,町田,岩手,date_distance_gt_window,2022-06-01,94.0,2022-02-27
1306,2,琉球,大宮,date_distance_gt_window,2022-06-01,46.0,2022-07-17
1306,3,岡山,栃木,date_distance_gt_window,2022-06-01,46.0,2022-07-17
1306,4,水戸,山口,date_distance_gt_window,2022-06-01,39.0,2022-04-23
1306,5,山形,群馬,date_distance_gt_window,2022-06-01,52.0,2022-07-23
1306,6,町田,岩手,date_distance_gt_window,2022-06-01,94.0,2022-02-27
1306,7,琉球,大宮,date_distance_gt_window,2022-06-01,46.0,2022-07-17
1306,8,岡山,栃木,date_distance_gt_window,2022-06-01,46.0,2022-07-17
1306,9,水戸,山口,date_distance_gt_window,2022-06-01,39.0,2022-04-23
1306,10,山形,群馬,date_distance_gt_window,2022-06-01,52.0,2022-07-23
1306,11,東京V,秋田,date_distance_gt_window,2022-06-01,105.0,2022-09-14
1306,12,千葉,金沢,date_distance_gt_window,2022-06-01,101.0,2022-09-10
1306,13,長崎,鹿児島,date_distance_gt_window,2022-06-01,879.0,2024-10-27
1307,11,横浜C,東京V,out_of_v6_jleague_scope,2022-06-05,,
1309,1,湘南,F東京,out_of_v6_jleague_scope,2022-06-18,,
1309,6,湘南,F東京,out_of_v6_jleague_scope,2022-06-18,,
1310,1,福岡,岩手,no_exact_pair_match,2022-06-22,,
1310,2,F東京,長崎,out_of_v6_jleague_scope,2022-06-22,,
1310,3,神戸,山口,no_exact_pair_match,2022-06-22,,
1310,4,浦和,群馬,no_exact_pair_match,2022-06-22,,
1310,5,川崎,東京V,out_of_v6_jleague_scope,2022-06-22,,
1310,6,福岡,岩手,no_exact_pair_match,2022-06-22,,
1310,7,F東京,長崎,out_of_v6_jleague_scope,2022-06-22,,
1310,8,神戸,山口,no_exact_pair_match,2022-06-22,,
1310,9,浦和,群馬,no_exact_pair_match,2022-06-22,,
1310,10,川崎,東京V,out_of_v6_jleague_scope,2022-06-22,,
1310,11,柏,徳島,no_exact_pair_match,2022-06-22,,
1310,12,広島,横浜C,out_of_v6_jleague_scope,2022-06-22,,
1310,13,鹿島,大宮,no_exact_pair_match,2022-06-22,,
1311,1,川崎,磐田,out_of_v6_jleague_scope,2022-06-25,,
1311,4,鳥栖,F東京,out_of_v6_jleague_scope,2022-06-26,,
1311,6,川崎,磐田,out_of_v6_jleague_scope,2022-06-25,,
1311,9,鳥栖,F東京,out_of_v6_jleague_scope,2022-06-26,,
1313,3,F東京,札幌,out_of_v6_jleague_scope,2022-07-06,,
1314,3,浦和,F東京,out_of_v6_jleague_scope,2022-07-10,,
1314,8,浦和,F東京,out_of_v6_jleague_scope,2022-07-10,,
1314,11,徳島,横浜C,out_of_v6_jleague_scope,2022-07-10,,
1315,1,名古屋,1,out_of_v6_jleague_scope,2022-07-13,,
1315,2,C大阪,2,out_of_v6_jleague_scope,2022-07-06,,
1315,3,鹿島,2,out_of_v6_jleague_scope,2022-07-13,,
1315,4,G大阪,0,out_of_v6_jleague_scope,2022-07-06,,
1315,5,神戸,2,out_of_v6_jleague_scope,2022-07-13,,
1315,6,柏,1,out_of_v6_jleague_scope,2022-07-06,,
1316,3,F東京,磐田,out_of_v6_jleague_scope,2022-07-17,,
1316,8,F東京,磐田,out_of_v6_jleague_scope,2022-07-17,,
1317,4,東京V,横浜C,out_of_v6_jleague_scope,2022-07-24,,
1317,6,群馬,1,out_of_v6_jleague_scope,2022-07-16,,
1317,10,東京V,横浜C,out_of_v6_jleague_scope,2022-07-24,,
1317,13,Y横浜,富山,out_of_v6_jleague_scope,2022-07-24,,
1318,1,横浜M,鹿島,out_of_v6_jleague_scope,2022-07-30,,
1318,6,横浜M,鹿島,out_of_v6_jleague_scope,2022-07-30,,
1319,1,C大阪,1,out_of_v6_jleague_scope,2022-08-03,,
1319,2,川崎,1,out_of_v6_jleague_scope,2022-07-27,,
1319,4,横浜M,1,out_of_v6_jleague_scope,2022-07-27,,
1319,5,名古屋,1,out_of_v6_jleague_scope,2022-08-03,,
1319,6,浦和,1,out_of_v6_jleague_scope,2022-07-27,,
1320,1,F東京,清水,out_of_v6_jleague_scope,2022-08-07,,
1320,2,川崎,横浜M,out_of_v6_jleague_scope,2022-08-07,,
1320,6,F東京,清水,out_of_v6_jleague_scope,2022-08-07,,
1320,7,川崎,横浜M,out_of_v6_jleague_scope,2022-08-07,,
1321,1,川崎,2,out_of_v6_jleague_scope,2022-08-10,,
1321,2,C大阪,2,out_of_v6_jleague_scope,2022-08-03,,
1321,3,福岡,1,out_of_v6_jleague_scope,2022-08-10,,
1321,4,神戸,0,out_of_v6_jleague_scope,2022-08-03,,
1321,6,名古屋,0,out_of_v6_jleague_scope,2022-08-03,,
1323,5,福岡,川崎,out_of_v6_jleague_scope,2022-08-20,,
1324,4,町田,横浜C,out_of_v6_jleague_scope,2022-08-27,,
1324,5,川崎,鹿島,out_of_v6_jleague_scope,2022-08-27,,
1324,9,町田,横浜C,out_of_v6_jleague_scope,2022-08-27,,
1325,2,F東京,横浜M,out_of_v6_jleague_scope,2022-09-03,,
1325,4,山口,横浜C,out_of_v6_jleague_scope,2022-09-03,,
1325,7,F東京,横浜M,out_of_v6_jleague_scope,2022-09-03,,
1325,9,山口,横浜C,out_of_v6_jleague_scope,2022-09-03,,
1326,1,川崎,広島,out_of_v6_jleague_scope,2022-09-10,,
